t,x,y,z,vx,vy,vz,ax,ay,az,type
0.0,0.5,0.0,0.05,0.24531249999999727,-0.0828125,0.0,0.0,0.0,0.0,0
0.008,0.5019625,-0.0006625,0.05,0.24531249999999727,-0.0828125,0.0,4.3368086899420177e-13,-8.673617379884035e-16,0.0,0
0.016,0.503925,-0.001325,0.05,0.2453125000000042,-0.08281250000000001,0.0,4.3368086899420177e-13,0.0,0.0,0
0.024,0.5058875,-0.0019875,0.05,0.2453125000000042,-0.0828125,0.0,-4.3368086899420177e-13,1.734723475976807e-15,0.0,0
0.032,0.50785,-0.00265,0.05,0.24531249999999727,-0.08281249999999998,0.0,-4.3368086899420177e-13,-8.673617379884035e-16,0.0,0
0.04,0.5098125,-0.0033125,0.05,0.24531249999999727,-0.08281250000000001,0.0,0.0,-1.734723475976807e-15,0.0,0
0.048,0.511775,-0.003975,0.05,0.24531249999999727,-0.08281250000000001,0.0,4.3368086899420177e-13,1.734723475976807e-15,0.0,0
0.056,0.5137375,-0.0046375,0.05,0.2453125000000042,-0.08281249999999998,0.0,4.3368086899420177e-13,1.734723475976807e-15,0.0,0
0.064,0.5157,-0.0053,0.05,0.2453125000000042,-0.08281249999999998,0.0,-4.3368086899420177e-13,0.0,0.0,0
0.07200000000000001,0.5176625,-0.0059625,0.05,0.24531249999999727,-0.08281249999999998,0.0,-4.3368086899420177e-13,0.0,0.0,0
0.08000000000000002,0.519625,-0.006625,0.05,0.24531249999999727,-0.08281249999999998,0.0,0.0,-3.469446951953614e-15,0.0,0
0.08800000000000002,0.5215875,-0.0072875,0.05,0.24531249999999727,-0.08281250000000004,0.0,0.0,-3.469446951953614e-15,0.0,0
0.09600000000000003,0.52355,-0.00795,0.05,0.24531249999999727,-0.08281250000000004,0.0,4.3368086899420177e-13,3.469446951953614e-15,0.0,0
0.10400000000000004,0.5255124999999999,-0.0086125,0.05,0.2453125000000042,-0.08281249999999998,0.0,4.3368086899420177e-13,3.469446951953614e-15,0.0,0
0.11200000000000004,0.527475,-0.009275,0.05,0.2453125000000042,-0.08281249999999998,0.0,-4.3368086899420177e-13,0.0,0.0,0
0.12000000000000005,0.5294375,-0.0099375,0.05,0.24531249999999727,-0.08281249999999998,0.0,-4.3368086899420177e-13,0.0,0.0,0
0.12800000000000006,0.5314,-0.0106,0.05,0.24531249999999727,-0.08281249999999998,0.0,0.0,0.0,0.0,0
0.13600000000000007,0.5333625,-0.0112625,0.05,0.24531249999999727,-0.08281249999999998,0.0,4.3368086899420177e-13,0.0,0.0,0
0.14400000000000007,0.5353249999999999,-0.011925,0.05,0.2453125000000042,-0.08281249999999998,0.0,4.3368086899420177e-13,0.0,0.0,0
0.15200000000000008,0.5372875,-0.0125875,0.05,0.2453125000000042,-0.08281249999999998,0.0,-4.3368086899420177e-13,0.0,0.0,0
0.1600000000000001,0.53925,-0.01325,0.05,0.24531249999999727,-0.08281249999999998,0.0,-4.3368086899420177e-13,0.0,0.0,0
0.1680000000000001,0.5412125,-0.0139125,0.05,0.24531249999999727,-0.08281249999999998,0.0,0.0,0.0,0.0,0
0.1760000000000001,0.543175,-0.014575,0.05,0.24531249999999727,-0.08281249999999998,0.0,0.0,-6.938893903907228e-15,0.0,0
0.1840000000000001,0.5451374999999999,-0.0152375,0.05,0.24531249999999727,-0.0828125000000001,0.0,4.3368086899420177e-13,-6.938893903907228e-15,0.0,0
0.19200000000000012,0.5470999999999999,-0.0159,0.05,0.2453125000000042,-0.0828125000000001,0.0,4.3368086899420177e-13,6.938893903907228e-15,0.0,0
0.20000000000000012,0.5490625,-0.0165625,0.05,0.2453125000000042,-0.08281249999999998,0.0,-4.3368086899420177e-13,6.938893903907228e-15,0.0,0
0.20800000000000013,0.551025,-0.017225,0.05,0.24531249999999727,-0.08281249999999998,0.0,-4.3368086899420177e-13,0.0,0.0,0
