x,y,z,type
0.0,-0.9,0.7,0
0.5,0.0,0.08,0
0.7052,0.021599999999999998,0.08,0
0.7052,0.021599999999999998,0.0,0
0.704,0.026399999999999996,0.0,1
0.704,0.0312,0.0,1
0.7028,0.036,0.0,1
0.7016,0.040799999999999996,0.0,1
0.6992,0.045599999999999995,0.0,1
0.698,0.05039999999999999,0.0,1
0.6968,0.05519999999999999,0.0,1
0.6944,0.06,0.0,1
0.6908,0.0648,0.0,1
0.6884,0.0696,0.0,1
0.6848,0.0744,0.0,1
0.6812,0.07919999999999999,0.0,1
0.6776,0.08399999999999999,0.0,1
0.6728,0.08879999999999999,0.0,1
0.6679999999999999,0.09359999999999999,0.0,1
0.6632,0.0972,0.0,1
0.6584,0.10079999999999999,0.0,1
0.6536,0.10439999999999999,0.0,1
0.6488,0.10679999999999999,0.0,1
0.644,0.10919999999999999,0.0,1
0.6392,0.11159999999999999,0.0,1
0.6344,0.11399999999999999,0.0,1
0.6295999999999999,0.1152,0.0,1
0.6248,0.11639999999999999,0.0,1
0.62,0.1176,0.0,1
0.6152,0.11879999999999999,0.0,1
0.6103999999999999,0.12,0.0,1
0.6056,0.12,0.0,1
0.6008,0.12119999999999999,0.0,1
0.596,0.12119999999999999,0.0,1
0.5912,0.12119999999999999,0.0,1
0.5864,0.12119999999999999,0.0,1
0.5816,0.12119999999999999,0.0,1
0.5768,0.12119999999999999,0.0,1
0.572,0.12119999999999999,0.0,1
0.5672,0.12119999999999999,0.0,1
0.5624,0.12119999999999999,0.0,1
0.5576,0.12359999999999999,0.0,1
0.5528,0.126,0.0,1
0.548,0.1284,0.0,1
0.5432,0.1308,0.0,1
0.5384,0.13319999999999999,0.0,1
0.5336,0.1356,0.0,1
0.5288,0.13799999999999998,0.0,1
0.524,0.1404,0.0,1
0.5192,0.1404,0.0,1
0.5144,0.1356,0.0,1
0.512,0.1308,0.0,1
0.5096,0.126,0.0,1
0.5048,0.12119999999999999,0.0,1
0.5,0.12119999999999999,0.0,1
0.4952,0.12119999999999999,0.0,1
0.4904,0.12119999999999999,0.0,1
0.4856,0.12119999999999999,0.0,1
0.4808,0.12119999999999999,0.0,1
0.476,0.12119999999999999,0.0,1
0.4712,0.12119999999999999,0.0,1
0.4664,0.12,0.0,1
0.4628,0.1152,0.0,1
0.4616,0.11039999999999998,0.0,1
0.46040000000000003,0.10559999999999999,0.0,1
0.4592,0.10079999999999999,0.0,1
0.458,0.09599999999999999,0.0,1
0.4568,0.09119999999999999,0.0,1
0.4568,0.08639999999999999,0.0,1
0.4556,0.08159999999999999,0.0,1
0.4544,0.0768,0.0,1
0.4532,0.072,0.0,1
0.4484,0.06839999999999999,0.0,1
0.4436,0.06839999999999999,0.0,1
0.4388,0.06839999999999999,0.0,1
0.434,0.0696,0.0,1
0.4292,0.07079999999999999,0.0,1
0.4244,0.07079999999999999,0.0,1
0.4196,0.072,0.0,1
0.4148,0.07319999999999999,0.0,1
0.41000000000000003,0.07319999999999999,0.0,1
0.4052,0.0744,0.0,1
0.4004,0.07559999999999999,0.0,1
0.3956,0.07559999999999999,0.0,1
0.39080000000000004,0.07559999999999999,0.0,1
0.3872,0.07079999999999999,0.0,1
0.3872,0.06599999999999999,0.0,1
0.3872,0.0612,0.0,1
