x,y,z,type,cmd
0.654,-0.031,0.0,1,DRAW
0.65,-0.034,0.0,1,DRAW
0.646,-0.034,0.0,1,DRAW
0.642,-0.034,0.0,1,DRAW
0.638,-0.034,0.0,1,DRAW
0.634,-0.034,0.0,1,DRAW
0.63,-0.034,0.0,1,DRAW
0.626,-0.034,0.0,1,DRAW
0.622,-0.034,0.0,1,DRAW
0.618,-0.034,0.0,1,DRAW
0.614,-0.033,0.0,1,DRAW
0.61,-0.031,0.0,1,DRAW
0.609,-0.035,0.0,1,DRAW
0.609,-0.039,0.0,1,DRAW
0.609,-0.043000000000000003,0.0,1,DRAW
0.609,-0.047,0.0,1,DRAW
0.609,-0.048,0.0,1,DRAW
0.609,-0.048,0.08,0,LIFT
0.609,-0.097,0.08,0,TRAVEL
0.609,-0.097,0.0,0,LOWER
0.611,-0.099,0.0,1,DRAW
0.615,-0.097,0.0,1,DRAW
0.619,-0.095,0.0,1,DRAW
0.623,-0.095,0.0,1,DRAW
0.627,-0.095,0.0,1,DRAW
0.631,-0.095,0.0,1,DRAW
0.635,-0.095,0.0,1,DRAW
0.639,-0.095,0.0,1,DRAW
0.643,-0.095,0.0,1,DRAW
0.647,-0.095,0.0,1,DRAW
0.651,-0.096,0.0,1,DRAW
0.655,-0.099,0.0,1,DRAW
0.658,-0.096,0.0,1,DRAW
0.658,-0.092,0.0,1,DRAW
0.658,-0.088,0.0,1,DRAW
0.658,-0.084,0.0,1,DRAW
0.657,-0.08,0.0,1,DRAW
0.657,-0.078,0.0,1,DRAW
0.653,-0.08,0.0,1,DRAW
0.649,-0.082,0.0,1,DRAW
0.645,-0.082,0.0,1,DRAW
0.641,-0.082,0.0,1,DRAW
0.637,-0.081,0.0,1,DRAW
0.637,-0.077,0.0,1,DRAW
0.641,-0.073,0.0,1,DRAW
0.645,-0.07200000000000001,0.0,1,DRAW
0.641,-0.07100000000000001,0.0,1,DRAW
0.637,-0.069,0.0,1,DRAW
0.633,-0.069,0.0,1,DRAW
0.629,-0.07,0.0,1,DRAW
0.625,-0.07100000000000001,0.0,1,DRAW
0.627,-0.075,0.0,1,DRAW
0.629,-0.079,0.0,1,DRAW
0.627,-0.082,0.0,1,DRAW
0.623,-0.082,0.0,1,DRAW
0.619,-0.082,0.0,1,DRAW
0.615,-0.081,0.0,1,DRAW
0.614,-0.077,0.0,1,DRAW
0.614,-0.073,0.0,1,DRAW
0.616,-0.069,0.0,1,DRAW
0.619,-0.065,0.0,1,DRAW
0.619,-0.061,0.0,1,DRAW
0.615,-0.061,0.0,1,DRAW
0.611,-0.061,0.0,1,DRAW
0.609,-0.065,0.0,1,DRAW
0.609,-0.069,0.0,1,DRAW
0.609,-0.073,0.0,1,DRAW
0.609,-0.077,0.0,1,DRAW
0.609,-0.081,0.0,1,DRAW
0.609,-0.085,0.0,1,DRAW
0.609,-0.089,0.0,1,DRAW
0.609,-0.093,0.0,1,DRAW
0.609,-0.096,0.0,1,DRAW
0.609,-0.096,0.08,0,LIFT
0.608,0.054,0.08,0,TRAVEL
0.608,0.054,0.0,0,LOWER
0.609,0.05,0.0,1,DRAW
0.611,0.046,0.0,1,DRAW
0.613,0.042,0.0,1,DRAW
0.616,0.038,0.0,1,DRAW
0.62,0.035,0.0,1,DRAW
0.624,0.034,0.0,1,DRAW
0.628,0.033,0.0,1,DRAW
0.632,0.032,0.0,1,DRAW
0.636,0.032,0.0,1,DRAW
0.64,0.033,0.0,1,DRAW
0.644,0.035,0.0,1,DRAW
0.648,0.037,0.0,1,DRAW
0.652,0.04,0.0,1,DRAW
0.655,0.044,0.0,1,DRAW
0.657,0.048,0.0,1,DRAW
0.658,0.052000000000000005,0.0,1,DRAW
0.658,0.056,0.0,1,DRAW
0.658,0.06,0.0,1,DRAW
0.658,0.064,0.0,1,DRAW
0.657,0.068,0.0,1,DRAW
0.655,0.07200000000000001,0.0,1,DRAW
0.651,0.076,0.0,1,DRAW
0.647,0.079,0.0,1,DRAW
0.643,0.082,0.0,1,DRAW
0.639,0.083,0.0,1,DRAW
0.635,0.083,0.0,1,DRAW
0.631,0.083,0.0,1,DRAW
0.627,0.083,0.0,1,DRAW
0.623,0.081,0.0,1,DRAW
0.619,0.079,0.0,1,DRAW
0.615,0.076,0.0,1,DRAW
0.612,0.07200000000000001,0.0,1,DRAW
0.61,0.068,0.0,1,DRAW
0.609,0.064,0.0,1,DRAW
0.608,0.06,0.0,1,DRAW
0.608,0.056,0.0,1,DRAW
0.608,0.055,0.0,1,DRAW
0.608,0.055,0.08,0,LIFT
-0.3,0.2,0.7,0,HOME
