x,y,z,type,cmd,path_id
0.25,0.25,0.05,0,HOME_START,-1
0.4184,-0.28319999999999995,0.05,0,TRAVEL_APPROACH,0
0.4184,-0.28319999999999995,0.0,0,PEN_DOWN,0
0.4184,-0.28319999999999995,0.0,1,DRAW_SEGMENT,0
0.4172,-0.282,0.0,1,DRAW_SEGMENT,0
0.41600000000000004,-0.282,0.0,1,DRAW_SEGMENT,0
0.4148,-0.282,0.0,1,DRAW_SEGMENT,0
0.4136,-0.282,0.0,1,DRAW_SEGMENT,0
0.4124,-0.2808,0.0,1,DRAW_SEGMENT,0
0.4112,-0.2808,0.0,1,DRAW_SEGMENT,0
0.41000000000000003,-0.2808,0.0,1,DRAW_SEGMENT,0
0.4088,-0.27959999999999996,0.0,1,DRAW_SEGMENT,0
0.4076,-0.27959999999999996,0.0,1,DRAW_SEGMENT,0
0.4064,-0.27959999999999996,0.0,1,DRAW_SEGMENT,0
0.4052,-0.27959999999999996,0.0,1,DRAW_SEGMENT,0
0.404,-0.27959999999999996,0.0,1,DRAW_SEGMENT,0
0.4028,-0.2784,0.0,1,DRAW_SEGMENT,0
0.4016,-0.2784,0.0,1,DRAW_SEGMENT,0
0.4004,-0.2784,0.0,1,DRAW_SEGMENT,0
0.3992,-0.2784,0.0,1,DRAW_SEGMENT,0
0.398,-0.2772,0.0,1,DRAW_SEGMENT,0
0.39680000000000004,-0.2772,0.0,1,DRAW_SEGMENT,0
0.3956,-0.2772,0.0,1,DRAW_SEGMENT,0
0.39440000000000003,-0.2772,0.0,1,DRAW_SEGMENT,0
0.3932,-0.2772,0.0,1,DRAW_SEGMENT,0
0.392,-0.27599999999999997,0.0,1,DRAW_SEGMENT,0
0.39080000000000004,-0.27599999999999997,0.0,1,DRAW_SEGMENT,0
0.3896,-0.27599999999999997,0.0,1,DRAW_SEGMENT,0
0.3884,-0.27599999999999997,0.0,1,DRAW_SEGMENT,0
0.3872,-0.2748,0.0,1,DRAW_SEGMENT,0
0.386,-0.2748,0.0,1,DRAW_SEGMENT,0
0.38480000000000003,-0.2748,0.0,1,DRAW_SEGMENT,0
0.3836,-0.2748,0.0,1,DRAW_SEGMENT,0
0.3824,-0.27359999999999995,0.0,1,DRAW_SEGMENT,0
0.3812,-0.27359999999999995,0.0,1,DRAW_SEGMENT,0
0.38,-0.27359999999999995,0.0,1,DRAW_SEGMENT,0
0.3788,-0.27359999999999995,0.0,1,DRAW_SEGMENT,0
0.3776,-0.27359999999999995,0.0,1,DRAW_SEGMENT,0
0.3764,-0.27359999999999995,0.0,1,DRAW_SEGMENT,0
0.3752,-0.2724,0.0,1,DRAW_SEGMENT,0
0.374,-0.2724,0.0,1,DRAW_SEGMENT,0
0.3728,-0.2724,0.0,1,DRAW_SEGMENT,0
0.37160000000000004,-0.2724,0.0,1,DRAW_SEGMENT,0
0.3704,-0.2724,0.0,1,DRAW_SEGMENT,0
0.3692,-0.2724,0.0,1,DRAW_SEGMENT,0
0.368,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3668,-0.2712,0.0,1,DRAW_SEGMENT,0
0.36560000000000004,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3644,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3632,-0.2712,0.0,1,DRAW_SEGMENT,0
0.362,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3608,-0.2712,0.0,1,DRAW_SEGMENT,0
0.35960000000000003,-0.2712,0.0,1,DRAW_SEGMENT,0
0.35840000000000005,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3572,-0.2712,0.0,1,DRAW_SEGMENT,0
0.356,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3548,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3536,-0.2712,0.0,1,DRAW_SEGMENT,0
0.35240000000000005,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3512,-0.2712,0.0,1,DRAW_SEGMENT,0
0.35,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3488,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3476,-0.2712,0.0,1,DRAW_SEGMENT,0
0.34640000000000004,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3452,-0.2712,0.0,1,DRAW_SEGMENT,0
0.344,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3428,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3416,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3428,-0.2712,0.0,1,DRAW_SEGMENT,0
0.344,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3452,-0.2712,0.0,1,DRAW_SEGMENT,0
0.34640000000000004,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3476,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3488,-0.2712,0.0,1,DRAW_SEGMENT,0
0.35,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3512,-0.2712,0.0,1,DRAW_SEGMENT,0
0.35240000000000005,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3536,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3548,-0.2712,0.0,1,DRAW_SEGMENT,0
0.356,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3572,-0.2712,0.0,1,DRAW_SEGMENT,0
0.35840000000000005,-0.2712,0.0,1,DRAW_SEGMENT,0
0.35960000000000003,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3608,-0.2712,0.0,1,DRAW_SEGMENT,0
0.362,-0.2712,0.0,1,DRAW_SEGMENT,0
0.3632,-0.2712,0.0,1,DRAW_SEGMENT,0
