x,y,z,type,cmd,path_id,count
0.4436,0.0636,0,1,DRAW_SEGMENT,0,
0.4448,0.0648,0,1,DRAW_SEGMENT,0,
0.446,0.0648,0,1,DRAW_SEGMENT,0,
0.4472,0.0648,0,1,DRAW_SEGMENT,0,
0.4484,0.066,0,1,DRAW_SEGMENT,0,
0.4496,0.066,0,1,DRAW_SEGMENT,0,
0.4508,0.066,0,1,DRAW_SEGMENT,0,
0.452,0.066,0,1,DRAW_SEGMENT,0,
0.4532,0.066,0,1,DRAW_SEGMENT,0,
0.4544,0.0672,0,1,DRAW_SEGMENT,0,
0.4556,0.0672,0,1,DRAW_SEGMENT,0,
0.4568,0.0672,0,1,DRAW_SEGMENT,0,
0.458,0.0672,0,1,DRAW_SEGMENT,0,
0.4592,0.0672,0,1,DRAW_SEGMENT,0,
0.4604,0.0672,0,1,DRAW_SEGMENT,0,
0.4616,0.0672,0,1,DRAW_SEGMENT,0,
0.4628,0.0672,0,1,DRAW_SEGMENT,0,
0.464,0.0672,0,1,DRAW_SEGMENT,0,
0.4652,0.0672,0,1,DRAW_SEGMENT,0,
0.4664,0.0672,0,1,DRAW_SEGMENT,0,
0.4676,0.0672,0,1,DRAW_SEGMENT,0,
0.4688,0.0672,0,1,DRAW_SEGMENT,0,
0.47,0.0672,0,1,DRAW_SEGMENT,0,
0.4712,0.0672,0,1,DRAW_SEGMENT,0,
0.4724,0.0672,0,1,DRAW_SEGMENT,0,
0.4736,0.0672,0,1,DRAW_SEGMENT,0,
0.4748,0.0672,0,1,DRAW_SEGMENT,0,
0.476,0.0672,0,1,DRAW_SEGMENT,0,
0.4772,0.066,0,1,DRAW_SEGMENT,0,
0.4784,0.066,0,1,DRAW_SEGMENT,0,
0.4796,0.066,0,1,DRAW_SEGMENT,0,
0.4808,0.066,0,1,DRAW_SEGMENT,0,
0.482,0.066,0,1,DRAW_SEGMENT,0,
0.4832,0.0648,0,1,DRAW_SEGMENT,0,
0.4844,0.0648,0,1,DRAW_SEGMENT,0,
0.4856,0.0648,0,1,DRAW_SEGMENT,0,
0.4868,0.0636,0,1,DRAW_SEGMENT,0,
0.488,0.0636,0,1,DRAW_SEGMENT,0,
0.4892,0.0636,0,1,DRAW_SEGMENT,0,
0.4904,0.0624,0,1,DRAW_SEGMENT,0,
0.4916,0.0624,0,1,DRAW_SEGMENT,0,
0.4928,0.0624,0,1,DRAW_SEGMENT,0,
0.494,0.0612,0,1,DRAW_SEGMENT,0,
0.4952,0.0612,0,1,DRAW_SEGMENT,0,
0.4964,0.0612,0,1,DRAW_SEGMENT,0,
0.4976,0.06,0,1,DRAW_SEGMENT,0,
0.4988,0.0588,0,1,DRAW_SEGMENT,0,
0.5,0.0588,0,1,DRAW_SEGMENT,0,
0.5012,0.0588,0,1,DRAW_SEGMENT,0,
0.5024,0.0576,0,1,DRAW_SEGMENT,0,
0.5036,0.0564,0,1,DRAW_SEGMENT,0,
0.5048,0.0564,0,1,DRAW_SEGMENT,0,
0.506,0.0552,0,1,DRAW_SEGMENT,0,
0.5072,0.0552,0,1,DRAW_SEGMENT,0,
0.5084,0.054,0,1,DRAW_SEGMENT,0,
0.5096,0.0528,0,1,DRAW_SEGMENT,0,
0.5108,0.0528,0,1,DRAW_SEGMENT,0,
0.512,0.0516,0,1,DRAW_SEGMENT,0,
0.5132,0.0504,0,1,DRAW_SEGMENT,0,
0.5144,0.0492,0,1,DRAW_SEGMENT,0,
0.5156,0.048,0,1,DRAW_SEGMENT,0,
0.5168,0.0468,0,1,DRAW_SEGMENT,0,
0.518,0.0468,0,1,DRAW_SEGMENT,0,
0.5192,0.0456,0,1,DRAW_SEGMENT,0,
0.5204,0.0444,0,1,DRAW_SEGMENT,0,
0.5216,0.0432,0,1,DRAW_SEGMENT,0,
0.5228,0.042,0,1,DRAW_SEGMENT,0,
0.524,0.0408,0,1,DRAW_SEGMENT,0,
0.524,0.0396,0,1,DRAW_SEGMENT,0,
0.5252,0.0384,0,1,DRAW_SEGMENT,0,
0.5264,0.0372,0,1,DRAW_SEGMENT,0,
0.5276,0.036,0,1,DRAW_SEGMENT,0,
0.5288,0.0348,0,1,DRAW_SEGMENT,0,
0.5288,0.0336,0,1,DRAW_SEGMENT,0,
0.53,0.0324,0,1,DRAW_SEGMENT,0,
0.5312,0.0312,0,1,DRAW_SEGMENT,0,
0.5312,0.03,0,1,DRAW_SEGMENT,0,
0.5324,0.0288,0,1,DRAW_SEGMENT,0,
0.5336,0.0276,0,1,DRAW_SEGMENT,0,
0.5336,0.0264,0,1,DRAW_SEGMENT,0,
0.5348,0.0252,0,1,DRAW_SEGMENT,0,
0.5348,0.024,0,1,DRAW_SEGMENT,0,
0.536,0.0228,0,1,DRAW_SEGMENT,0,
0.536,0.0216,0,1,DRAW_SEGMENT,0,
0.5372,0.0204,0,1,DRAW_SEGMENT,0,
0.5372,0.0192,0,1,DRAW_SEGMENT,0,
0.5384,0.018,0,1,DRAW_SEGMENT,0,
0.5384,0.0168,0,1,DRAW_SEGMENT,0,
0.5384,0.0156,0,1,DRAW_SEGMENT,0,
0.5396,0.0144,0,1,DRAW_SEGMENT,0,
0.5396,0.0132,0,1,DRAW_SEGMENT,0,
0.5396,0.012,0,1,DRAW_SEGMENT,0,
0.5408,0.0108,0,1,DRAW_SEGMENT,0,
0.5408,0.0096,0,1,DRAW_SEGMENT,0,
0.5408,0.0084,0,1,DRAW_SEGMENT,0,
0.5408,0.0072,0,1,DRAW_SEGMENT,0,
0.542,0.006,0,1,DRAW_SEGMENT,0,
0.542,0.0048,0,1,DRAW_SEGMENT,0,
0.542,0.0036,0,1,DRAW_SEGMENT,0,
0.542,0.0024,0,1,DRAW_SEGMENT,0,
0.5432,0.0012,0,1,DRAW_SEGMENT,0,
0.5432,0,0,1,DRAW_SEGMENT,0,
0.5432,-0.0012,0,1,DRAW_SEGMENT,0,
0.5432,-0.0024,0,1,DRAW_SEGMENT,0,
0.5432,-0.0036,0,1,DRAW_SEGMENT,0,
0.5432,-0.0048,0,1,DRAW_SEGMENT,0,
0.5444,-0.006,0,1,DRAW_SEGMENT,0,
0.5444,-0.0072,0,1,DRAW_SEGMENT,0,
0.5456,-0.0084,0,1,DRAW_SEGMENT,0,
0.5468,-0.0084,0,1,DRAW_SEGMENT,0,
0.548,-0.0084,0,1,DRAW_SEGMENT,0,
0.5492,-0.0084,0,1,DRAW_SEGMENT,0,
0.5504,-0.0084,0,1,DRAW_SEGMENT,0,
0.5516,-0.0084,0,1,DRAW_SEGMENT,0,
0.5528,-0.0084,0,1,DRAW_SEGMENT,0,
0.554,-0.0084,0,1,DRAW_SEGMENT,0,
0.5552,-0.0084,0,1,DRAW_SEGMENT,0,
0.5564,-0.0084,0,1,DRAW_SEGMENT,0,
0.5576,-0.0084,0,1,DRAW_SEGMENT,0,
0.5588,-0.0084,0,1,DRAW_SEGMENT,0,
0.56,-0.0084,0,1,DRAW_SEGMENT,0,
0.5612,-0.0084,0,1,DRAW_SEGMENT,0,
0.5624,-0.0084,0,1,DRAW_SEGMENT,0,
