t,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
0.000000,0.5,-0.06,0.3846,0.000000,1.570796,0.000000,0.0,0.0,0.0,0.0,0.8481543741662949,-1.4003300596063615
0.008000,0.5,-0.059973888218261794,0.38455654180419707,0.000000,1.570796,0.000000,0.0,0.006399300655160472,-0.010695503187664358,0.0,0.751670789623823,-1.2735457373097283
0.016000,0.5,-0.05989966950598767,0.38443157668120637,0.000000,1.570796,0.000000,0.0,0.012026732633981168,-0.020376731796955653,0.0,0.6551872050813512,-1.146761415013095
0.024000,0.5,-0.05978351881258833,0.3842332188276548,0.000000,1.570796,0.000000,0.0,0.01688229593646209,-0.029043685827873877,0.0,0.5587036205388793,-1.0199770927164615
0.032000,0.5,-0.059631611087474515,0.3839695824401694,0.000000,1.570796,0.000000,0.0,0.02096599056260324,-0.03669636528041904,0.0,0.46222003599640743,-0.8931927704198284
0.040000,0.5,-0.059450121280056924,0.3836487817153771,0.000000,1.570796,0.000000,0.0,0.024277816512404612,-0.04333477015459113,0.0,0.36573645145393563,-0.7664084481231951
0.048000,0.5,-0.059245224339746286,0.38327893084990494,0.000000,1.570796,0.000000,0.0,0.026817773785866205,-0.048958900450390155,0.0,0.2692528669114638,-0.6396241258265618
0.056000,0.5,-0.0590230952159533,0.38286814404037983,0.000000,1.570796,0.000000,0.0,0.02858586238298803,-0.05356875616781612,0.0,0.17276928236899192,-0.5128398035299284
0.064000,0.5,-0.05878990885808871,0.38242453548342886,0.000000,1.570796,0.000000,0.0,0.029582082303770078,-0.05716433730686902,0.0,0.07628569782651995,-0.38605548123329525
0.072000,0.5,-0.05855184021556322,0.3819562193756789,0.000000,1.570796,0.000000,0.0,0.02980643354821235,-0.05974564386754885,0.0,-0.020197886715952018,-0.25927115893666186
0.080000,0.5,-0.05831506423778755,0.38147130991375705,0.000000,1.570796,0.000000,0.0,0.02925891611631485,-0.06131267584985561,0.0,-0.11668147125842365,-0.1324868366400287
0.088000,0.5,-0.058085755874172425,0.38097792129429026,0.000000,1.570796,0.000000,0.0,0.02793953000807757,-0.0618654332537893,0.0,-0.2131650558008955,-0.005702514343395526
0.096000,0.5,-0.05787009007412855,0.3804841677139055,0.000000,1.570796,0.000000,0.0,0.025848275223500514,-0.06140391607934992,0.0,-0.30964864034336737,0.12108180795323786
0.104000,0.5,-0.057674241787066656,0.37999816336922965,0.000000,1.570796,0.000000,0.0,0.022985151762583686,-0.05992812432653749,0.0,-0.40613222488583944,0.24786613024987147
0.112000,0.5,-0.05750411069177077,0.3795276932013426,0.000000,1.570796,0.000000,0.0,0.019527040838793076,-0.057649628410404406,0.0,-0.42684319236518603,0.2840176276833115
0.120000,0.5,-0.057361197563468296,0.37907528055325473,0.000000,1.570796,0.000000,0.0,0.016245714205302002,-0.055491556722853025,0.0,-0.393488466007582,0.2555002942045346
0.128000,0.5,-0.057243467696990305,0.378639219923996,0.000000,1.570796,0.000000,0.0,0.013231225382671762,-0.05356162370313186,0.0,-0.36013373964997797,0.2269829607257576
0.136000,0.5,-0.057148786389849916,0.37821768620422375,0.000000,1.570796,0.000000,0.0,0.01048357437090235,-0.0518598293512409,0.0,-0.32677901329237397,0.19846562724698064
0.144000,0.5,-0.05707501893956024,0.37780885428459526,0.000000,1.570796,0.000000,0.0,0.008002761169993773,-0.050386173667180165,0.0,-0.2934242869347699,0.16994829376820367
0.152000,0.5,-0.05702003064363438,0.377410899055768,0.000000,1.570796,0.000000,0.0,0.005788785779946036,-0.049140656650949646,0.0,-0.260069560577166,0.1414309602894268
0.160000,0.5,-0.05698168679958547,0.3770219954083992,0.000000,1.570796,0.000000,0.0,0.0038416482007591233,-0.04812327830254934,0.0,-0.22671483421956193,0.11291362681064987
0.168000,0.5,-0.05695785270492661,0.37664031823314637,0.000000,1.570796,0.000000,0.0,0.002161348432433042,-0.04733403862197924,0.0,-0.1933601078619579,0.08439629333187287
0.176000,0.5,-0.05694639365717091,0.37626404242066663,0.000000,1.570796,0.000000,0.0,0.0007478864749677974,-0.046772937609239375,0.0,-0.16000538150435395,0.05587895985309599
0.184000,0.5,-0.0569451749538315,0.3758913428616176,0.000000,1.570796,0.000000,0.0,-0.000398737671636621,-0.046439975264329705,0.0,-0.12665065514674995,0.027361626374319048
0.192000,0.5,-0.056952061892421475,0.3755203944466565,0.000000,1.570796,0.000000,0.0,-0.0012785240073802003,-0.04633515158725027,0.0,-0.09329592878914583,-0.0011557071044578926
0.200000,0.5,-0.05696491977045395,0.3751493720664407,0.000000,1.570796,0.000000,0.0,-0.0018914725322629576,-0.04645846657800104,0.0,-0.059941202431541774,-0.02967304058323489
0.208000,0.5,-0.056981613885442046,0.3747764506116276,0.000000,1.570796,0.000000,0.0,-0.0022375832462848723,-0.04680992023658202,0.0,-0.02658647607393777,-0.05819037406201183
0.216000,0.5,-0.057000009534898914,0.3743998049728746,0.000000,1.570796,0.000000,0.0,-0.0023168561762487807,-0.04738951252378663,0.0,0.006755224731644088,-0.08668865404173087
0.224000,0.5,-0.057018242518351296,0.3740180057254022,0.000000,1.570796,0.000000,0.0,-0.002230677341073172,-0.048048938138414155,0.0,0.014789484062258025,-0.07816774961514972
0.232000,0.5,-0.0570355289748237,0.3736312037419544,0.000000,1.570796,0.000000,0.0,-0.0020802244312526515,-0.04864019651762902,0.0,0.022823743392871965,-0.06964684518856853
0.240000,0.5,-0.05705135471171896,0.3732399443604145,0.000000,1.570796,0.000000,0.0,-0.001865497446787221,-0.04916328766143125,0.0,0.03085800272348587,-0.06112594076198741
