x,y,path_id
391,0,15
392,0,15
393,0,15
394,1,15
395,1,15
396,1,15
397,2,15
398,2,15
399,2,15
400,3,15
401,3,15
402,3,15
403,4,15
404,4,15
405,5,15
406,5,15
407,5,15
408,6,15
409,7,15
410,7,15
411,8,15
412,8,15
413,9,15
414,9,15
415,10,15
416,10,15
417,11,15
418,12,15
419,12,15
420,13,15
421,14,15
422,14,15
423,15,15
424,16,15
425,17,15
426,18,15
427,19,15
428,20,15
429,20,15
430,21,15
431,22,15
432,23,15
433,24,15
434,25,15
434,26,15
435,27,15
436,28,15
437,29,15
438,30,15
439,31,15
440,32,15
440,33,15
441,34,15
441,35,15
442,36,15
443,37,15
444,38,15
444,39,15
445,40,15
446,41,15
447,42,15
447,43,15
448,44,15
449,45,15
450,46,15
450,47,15
451,48,15
451,49,15
452,50,15
453,51,15
453,52,15
453,53,15
453,54,15
453,55,15
452,56,15
452,57,15
452,58,15
451,59,15
450,60,15
449,61,15
448,61,15
447,61,15
446,61,15
445,61,15
444,61,15
443,61,15
442,61,15
441,61,15
440,60,15
439,60,15
438,60,15
437,60,15
436,60,15
435,60,15
434,60,15
433,60,15
432,59,15
431,59,15
430,59,15
429,58,15
428,58,15
427,58,15
426,57,15
425,57,15
424,56,15
423,56,15
422,55,15
421,55,15
420,54,15
419,54,15
418,53,15
417,53,15
416,52,15
415,52,15
414,51,15
413,50,15
412,50,15
411,49,15
410,49,15
409,49,15
408,48,15
407,47,15
406,47,15
405,46,15
406,47,15
407,47,15
408,48,15
409,49,15
410,49,15
411,49,15
412,50,15
413,50,15
414,51,15
415,52,15
416,52,15
417,53,15
418,53,15
419,54,15
420,54,15
421,55,15
422,55,15
423,56,15
424,56,15
425,57,15
426,57,15
427,58,15
428,58,15
429,58,15
430,59,15
431,59,15
432,59,15
433,60,15
434,60,15
435,60,15
436,60,15
437,60,15
438,60,15
439,60,15
440,60,15
441,61,15
442,61,15
443,61,15
444,61,15
445,61,15
446,61,15
447,61,15
448,61,15
449,61,15
450,60,15
451,59,15
452,58,15
452,57,15
452,56,15
453,55,15
453,54,15
453,53,15
453,52,15
453,51,15
452,50,15
451,49,15
451,48,15
450,47,15
450,46,15
449,45,15
448,44,15
447,43,15
447,42,15
446,41,15
445,40,15
444,39,15
444,38,15
443,37,15
442,36,15
441,35,15
441,34,15
440,33,15
440,32,15
439,31,15
438,30,15
437,29,15
436,28,15
435,27,15
434,26,15
434,25,15
433,24,15
432,23,15
431,22,15
430,21,15
429,20,15
428,20,15
427,19,15
426,18,15
425,17,15
424,16,15
423,15,15
422,14,15
421,14,15
420,13,15
419,12,15
418,12,15
417,11,15
416,10,15
415,10,15
414,9,15
413,9,15
412,8,15
411,8,15
410,7,15
409,7,15
408,6,15
407,5,15
406,5,15
405,5,15
404,4,15
403,4,15
402,3,15
401,3,15
400,3,15
399,2,15
398,2,15
397,2,15
396,1,15
395,1,15
394,1,15
393,0,15
392,0,15
