t,x,y,z,vx,vy,vz,ax,ay,az,type
0.0,0.25,0.25,0.05,0.0,-0.0,0.0,0.0,-0.0,0.0,0
0.008,0.2500000102442748,0.24999999355416416,0.050000001291466235,3.83883527970732e-06,-2.41544691756865e-06,4.839509114393986e-07,0.0009584059135955694,-0.000603041923161257,0.00012082347420982465,0
0.016,0.25000008179773764,0.24999994853176058,0.05000001031200529,1.5316244149028574e-05,-9.637187329725841e-06,1.9308748033374573e-06,0.0019094864316732108,-0.0012014746086932559,0.00024072345689690034,0
0.024,0.2500002755398476,0.24999982662661274,0.05000003473651529,3.437369328606326e-05,-2.1628391281118448e-05,4.333392548317909e-06,0.002853260241466389,-0.0017953098148552552,0.00035970230390515613,0
0.032,0.25000065188235615,0.2499995898268321,0.050000082180931826,6.095279887931166e-05,-3.83523228903534e-05,7.684143867309999e-06,0.0037897460302085653,-0.0023845592999065125,0.0004777623710702848,0
0.04,0.250001270770503,0.24999920041406554,0.05000016020237868,9.499532662767484e-05,-5.9772340349997625e-05,1.1975787329425844e-05,0.004718962485133208,-0.002969234822106288,0.0005949060142035838,0
0.048,0.25000219168421267,0.2499986209627426,0.05000027629931867,0.00013644319174045455,-8.585189592657811e-05,1.720100035165534e-05,0.00564092829347378,-0.0035493481397138385,0.0007111355890617944,0
0.056,0.2500034736392903,0.24999781433932294,0.05000043791170445,0.00018523845893735343,-0.0001165545359605819,2.3352479198249894e-05,0.006555662142463743,-0.004124911010988421,0.0008264534512988006,0
0.064,0.25000517518861837,0.2499967437015435,0.05000065242112928,0.0002413233424484749,-0.00015184390086645606,3.042293897963411e-05,0.007463182719336563,-0.0046959351941892975,0.000940861956395309,0
0.07200000000000001,0.2500073544233521,0.24999537249766612,0.05000092715097777,0.0003046402060143229,-0.0001916837251326076,3.840511365065454e-05,0.008363508711325705,-0.005262432447575723,0.0010543634595628847,0
0.08000000000000002,0.2500100689741163,0.24999366446572457,0.050001269366576714,0.0003751315628858023,-0.00023603783732140365,4.7291756007947005e-05,0.00925665880566463,-0.005824414529406956,0.0011669603156189746,0
0.08800000000000002,0.25001337601220136,0.24999158363277216,0.050001686275345764,0.00045274007582421895,-0.00028487016006917135,5.7075637686177075e-05,0.010142651689586805,-0.006381893197942257,0.001278654878829781,0
0.09600000000000003,0.2500173322507594,0.24998909431412894,0.050002185026948136,0.0005374085571012791,-0.000338144710086198,6.774954915288539e-05,0.011021506050325694,-0.006934880211440884,0.0013894495027180855,0
0.10400000000000004,0.2500219939460003,0.24998616111262906,0.05000277271344127,0.0006290799684990901,-0.0003958255981567308,7.930629970164613e-05,0.011893240575114757,-0.007483387328162092,0.0014993465398333622,0
0.11200000000000004,0.25002741689838803,0.24998274891786817,0.05000345636942743,0.0007276974213101596,-0.0004578770291389767,9.173871744322696e-05,0.012757873951187462,-0.008027426306365142,0.0016083483414817174,0
0.12000000000000005,0.2500336564538372,0.2499788229054508,0.05000424297220416,0.0008332041763373968,-0.0005242633019651034,0.00010503964929442066,0.013615424865777277,-0.008567008904309295,0.0017164572574134352,0
0.12800000000000006,0.25004076750490833,0.24997434853623746,0.05000513944191476,0.0009455436438941106,-0.000594948809641238,0.00011920196096419973,0.014465912006117656,-0.009102146880253804,0.0018236756354660867,0
0.13600000000000007,0.25004880449200506,0.2499692915555923,0.05000615264169852,0.001064659383804012,-0.000669898039247468,0.00013421853693683223,0.015309354059442074,-0.009632851992457931,0.001930005821161393,0
0.14400000000000007,0.2500578214045696,0.24996361799263034,0.05000728937784087,0.0011904951054012112,-0.0007490755719378405,0.00015008228045158175,0.01614576971298399,-0.010159135999180934,0.0020354501572541982,0
0.15200000000000008,0.2500678717822793,0.24995729415946472,0.05000855639992337,0.0013229946675302202,-0.000832446082940363,0.000166786113478602,0.01697517765397686,-0.010681010658682065,0.002140010983232122,0
0.1600000000000001,0.2500790087162425,0.24995028665045413,0.05000996040097338,0.0014621020785459526,-0.0009199743415570035,0.00018432297669062738,0.01779759656965416,-0.011198487729220592,0.0022436906347646315,0
0.1680000000000001,0.2500912848501952,0.24994256234145018,0.05001150801761367,0.0016077614963137198,-0.0010116252111636887,0.00020268582943004906,0.018613045147249353,-0.01171157896905577,0.002346491443100444,0
0.1760000000000001,0.2501047523816968,0.24993408838904468,0.05001320583021155,0.001759917228209237,-0.0011073636492103063,0.00022186764967096071,0.019421542073995896,-0.012220296136446852,0.0024484157344123645,0
0.1840000000000001,0.25011946306332644,0.24992483222981704,0.05001506036302782,0.0019185137311186198,-0.001207154707220704,0.00024186143397574941,0.020223106037127257,-0.012724650989653101,0.002549465829088811,0
0.19200000000000012,0.2501354682038793,0.2499147615795816,0.05001707808436528,0.0020834956114383824,-0.0013109635307926896,0.0002626601974458027,0.021017755723876902,-0.013224655286933777,0.00264964404097144,0
0.20000000000000012,0.25015281866956246,0.24990384443263486,0.05001926540671682,0.0022548076250754417,-0.0014187553595980307,0.0002842569736658996,0.021805509821478292,-0.013720320786548135,0.002748952676538442,0
0.20800000000000013,0.2501715648851915,0.2498920490610031,0.05002162868691309,0.0024323946774471162,-0.0015304955273824548,0.0003066448146418494,0.022586387017164897,-0.014211659246755437,0.0028473940340332476,0
0.21600000000000014,0.25019175683538647,0.24987934401368941,0.05002417422626957,0.0026162018234811217,-0.0016461494619656489,0.0003298167907309385,0.023360405998170176,-0.014698682425814937,0.002944970402538477,0
0.22400000000000014,0.2502134440657679,0.24986569811592133,0.050026908270733125,0.0028061742676155775,-0.0017656826852412615,0.000353765990564753,0.024127585451727586,-0.015181402081985892,0.0030416840609951714,0
0.23200000000000015,0.2502366756841534,0.24985108046839785,0.05002983701102785,0.0030022573637990043,-0.001889060813176901,0.0003784855209639321,0.02488794406507061,-0.01565982997352757,0.0031375372771674137,0
0.24000000000000016,0.25026150036175343,0.24983546044653715,0.05003296658280024,0.00320439661549032,-0.0020162495558141333,0.00040396850684442244,0.02564150052543269,-0.016133977858699217,0.00323253230655262,0
0.24800000000000016,0.2502879663343678,0.24981880769972364,0.050036303066763536,0.003412537675658849,-0.0021472147172684887,0.00043020809111479747,0.026388273520047308,-0.016603857495760096,0.003326671391237895,0
0.25600000000000017,0.2503161214035816,0.2498010921505554,0.05003985248884129,0.0036266263467843096,-0.0022819221957294526,0.0004571974345642121,0.027128281736147918,-0.01706948064296947,0.003419956758702947,0
0.2640000000000002,0.25034601293796155,0.2497822839940916,0.050043620820309866,0.0038466085808568254,-0.002420337983460474,0.00048492971574056967,0.027861543860967983,-0.01753085905858659,0.003512390620570188,0
0.2720000000000002,0.2503776878742522,0.24976235369709976,0.050047613977940074,0.004072430479376921,-0.0025624281667989608,0.0005133981308184782,0.02858807858174098,-0.017988004500870725,0.003603975171302763,0
0.2800000000000002,0.2504111927185719,0.2497412719973031,0.05005183782413758,0.004304038293355519,-0.0027081589261562814,0.0005425958934565857,0.029307904585700362,-0.018440928728081122,0.003694712586851327,0
0.2880000000000002,0.2504465735476092,0.2497190099026279,0.0500562981670822,0.004541378423313947,-0.0028574965360177633,0.0005725162346438865,0.030021040560079603,-0.018889643498477045,0.0037846050232505216,0
0.2960000000000002,0.2504838760098191,0.2496955386904509,0.05006100076086591,0.004784397419283926,-0.003010407364942694,0.0006031524025346,0.030727505192112137,-0.019334160570317744,0.003873654615166176,0
0.3040000000000002,0.25052314532661885,0.24967082990684655,0.050065951305629484,0.005033041980807585,-0.003166857875564322,0.0006344976622712338,0.031427317169031466,-0.019774491701862493,0.003961863474394367,0
0.3120000000000002,0.2505644262935846,0.2496448553658344,0.05007115544769763,0.005287258956937454,-0.0033268146245898573,0.0006665452957954498,0.03212049517807105,-0.02021064865137054,0.004049233688313531,0
0.32000000000000023,0.25060776328164724,0.24961758714862645,0.05007661877971262,0.005546995346236454,-0.0034902442628004645,0.0006992886016463605,0.032807057906464335,-0.020642643177101145,0.00413576731829096,0
0.32800000000000024,0.25065320023828874,0.2495889976028745,0.05008234684076624,0.005812198296777918,-0.0036571135350512733,0.0007327208947459011,0.033487024041444775,-0.021070487037313557,0.00422146639804501,0
0.33600000000000024,0.2507007806887383,0.24955905934191747,0.050088345116529945,0.006082815106145577,-0.003827389280271373,0.0007668355061709244,0.03416041227024587,-0.021494191990267055,0.004306332931964534,0
0.34400000000000025,0.25075054773716854,0.2495277452440288,0.050094619039383156,0.006358793221433556,-0.004001038431463809,0.0008016257829116828,0.034827241280101055,-0.021913769794220883,0.004390368893386988,0
0.35200000000000026,0.2508025440678917,0.24949502845166366,0.05010117398853957,0.0066400802392463905,-0.004178028015705593,0.0008370850876163777,0.035487529758243805,-0.0223292322074343,0.004473576222836896,0
0.36000000000000026,0.25085681194655574,0.24946088237070652,0.050108015290171344,0.006926623905699014,-0.004358325154147693,0.0008732067983214578,0.036141296391907586,-0.022740590988166564,0.004555956826226223,0
0.36800000000000027,0.25091339322134065,0.24942528066971825,0.05011514821753113,0.007218372116416754,-0.004541897062015034,0.0009099843081673754,0.03678855986832586,-0.02314785789467694,0.004637512573018483,0
0.3760000000000003,0.25097232932415453,0.24938819727918365,0.05012257799107168,0.007515272916535343,-0.004728711048606507,0.0009474110250995145,0.03742933887473209,-0.02355104468522468,0.004718245294358265,0
0.3840000000000003,0.25103366127182986,0.24934960639075873,0.050130309778563066,0.00781727450070092,-0.00491873451729496,0.0009854803715540217,0.03806365209835975,-0.023950163118069044,0.0047981567811680665,0
0.3920000000000003,0.25109742966731957,0.24930948245651802,0.050138348695207335,0.008124325213070018,-0.005111934965527201,0.0010241857841282855,0.03869151822644228,-0.024345224951469294,0.004877248782214296,0
0.4000000000000003,0.2511636747008934,0.2492678001882019,0.0501466998037504,0.008436373547309571,-0.005308279984823998,0.001063520713235825,0.03931295594621317,-0.02473624194368468,0.004955523002144356,0
0.4080000000000003,0.2512324361513338,0.24922453455646412,0.05015536811459117,0.00875336814659692,-0.005507737260780083,0.0011034786227453676,0.03992798394490586,-0.025123225852974468,0.005032981099496807,0
0.4160000000000003,0.2513037533871324,0.24917966079011894,0.05016435858588767,0.009075257803619795,-0.005710274573064139,0.0011440529896039001,0.04053662090975384,-0.025506188437597915,0.005109624684686617,0
0.4240000000000003,0.25137766536768613,0.24913315437538852,0.05017367612366017,0.009401991460576338,-0.0059158597954188175,0.0011852373034435151,0.041138885527990554,-0.025885141455814272,0.005185455317967529,0
