t,x,y,z,vx,vy,vz,ax,ay,az,type
0.0,0.05002558221557264,0.5499601483073993,0.05,0.017395375838107074,-0.02709832416991631,0.0,1.0515511328528024,-1.638094729568794,0.0,0
0.008,0.0501647452222775,0.5497433617140399,0.05,0.025807784900929494,-0.04020308200646666,0.0,1.4006860121359388,-2.181973184734159,0.0,0
0.016,0.050438506773987514,0.5493168989952958,0.05,0.0398063520322821,-0.06200989512566285,0.0,1.2870720490437768,-2.0049866090638724,0.0,0
0.024,0.05080164685479401,0.5487512033920293,0.05,0.046400937685629924,-0.07228286775148862,0.0,0.291913248236692,-0.4547392309216941,0.0,0
0.032,0.05118092177695759,0.548160373111272,0.05,0.04447696400406917,-0.06928572282040996,0.0,-0.5440201444412099,0.8474685667179787,0.0,0
0.04,0.05151327827885912,0.5476426318269028,0.05,0.037696615374570565,-0.058723370684000964,0.0,-0.7264659245891322,1.131680586043387,0.0,0
0.048,0.05178406762295072,0.547220799180328,0.05,0.032853509210643055,-0.051178833443715765,0.0,-0.3648915602959255,0.5684240386516839,0.0,0
0.056,0.05203893442622941,0.5468237704918033,0.05,0.031858350409835756,-0.04962858606557402,0.0,-0.06219742505045615,0.09689046113385905,0.0,0
0.064,0.052293801229508094,0.5464267418032788,0.05,0.031858350409835756,-0.04962858606557402,0.0,2.688821387764051e-14,0.0,0.0,0
0.07200000000000001,0.05254866803278678,0.5460297131147541,0.05,0.031858350409836186,-0.04962858606557402,0.0,2.688821387764051e-14,0.0,0.0,0
0.08,0.05280353483606547,0.5456326844262296,0.05,0.031858350409836186,-0.04962858606557402,0.0,0.0,0.0,0.0,0
0.088,0.05305840163934416,0.5452356557377049,0.05,0.031858350409836186,-0.04962858606557402,0.0,0.0,0.0,-2.710505431213761e-14,0
0.096,0.05331326844262285,0.5448386270491804,0.05,0.031858350409836186,-0.04962858606557402,-4.3368086899420177e-16,-2.688821387764051e-14,0.0,-2.710505431213761e-14,0
0.10400000000000001,0.05356813524590154,0.5444415983606558,0.049999999999999996,0.031858350409835756,-0.04962858606557402,-4.3368086899420177e-16,0.0,0.0,2.710505431213761e-14,0
0.112,0.053823002049180224,0.5440445696721312,0.049999999999999996,0.031858350409836186,-0.04962858606557402,0.0,5.421010862427522e-14,0.0,5.421010862427522e-14,0
0.12,0.05407786885245892,0.5436475409836066,0.049999999999999996,0.031858350409836624,-0.04962858606557402,4.3368086899420177e-16,0.0,0.0,2.710505431213761e-14,0
0.128,0.05433273565573761,0.543250512295082,0.05,0.031858350409836186,-0.04962858606557402,4.3368086899420177e-16,-5.421010862427522e-14,0.0,-2.710505431213761e-14,0
0.136,0.054587602459016296,0.5428534836065574,0.05,0.031858350409835756,-0.04962858606557402,0.0,0.0,4.3368086899420177e-13,-2.710505431213761e-14,0
0.14400000000000002,0.05484246926229498,0.5424564549180328,0.05,0.031858350409836186,-0.04962858606556708,0.0,2.688821387764051e-14,0.0,0.0,0
0.152,0.055097336065573675,0.5420594262295083,0.05,0.031858350409836186,-0.04962858606557402,0.0,-2.688821387764051e-14,-8.673617379884035e-13,0.0,0
0.16,0.05535220286885236,0.5416623975409837,0.05,0.031858350409835756,-0.04962858606558096,0.0,-2.688821387764051e-14,0.0,0.0,0
0.168,0.05560706967213105,0.541265368852459,0.05,0.031858350409835756,-0.04962858606557402,0.0,0.0,4.3368086899420177e-13,0.0,0
0.176,0.05586193647540973,0.5408683401639345,0.05,0.031858350409835756,-0.04962858606557402,0.0,2.688821387764051e-14,0.0,0.0,0
0.184,0.05611680327868842,0.5404713114754098,0.05,0.031858350409836186,-0.04962858606557402,0.0,2.688821387764051e-14,4.3368086899420177e-13,0.0,0
0.192,0.05637167008196711,0.5400742827868853,0.05,0.031858350409836186,-0.04962858606556708,0.0,0.0,0.0,0.0,0
0.2,0.0566265368852458,0.5396772540983608,0.05,0.031858350409836186,-0.04962858606557402,0.0,0.0,-8.673617379884035e-13,2.710505431213761e-14,0
0.20800000000000002,0.05688140368852449,0.5392802254098361,0.05,0.031858350409836186,-0.04962858606558096,4.3368086899420177e-16,0.0,4.3368086899420177e-13,2.710505431213761e-14,0
0.216,0.05713627049180318,0.5388831967213115,0.05000000000000001,0.031858350409836186,-0.04962858606556708,4.3368086899420177e-16,0.0,8.673617379884035e-13,-2.710505431213761e-14,0
0.224,0.05739113729508187,0.538486168032787,0.05000000000000001,0.031858350409836186,-0.04962858606556708,0.0,-2.688821387764051e-14,-8.673617379884035e-13,-5.421010862427522e-14,0
0.232,0.057646004098360557,0.5380891393442624,0.05000000000000001,0.031858350409835756,-0.04962858606558096,-4.3368086899420177e-16,-2.688821387764051e-14,-4.3368086899420177e-13,-2.710505431213761e-14,0
0.24,0.05790087090163924,0.5376921106557377,0.05,0.031858350409835756,-0.04962858606557402,-4.3368086899420177e-16,0.0,4.3368086899420177e-13,2.710505431213761e-14,0
0.248,0.05815573770491793,0.5372950819672132,0.05,0.031858350409835756,-0.04962858606557402,0.0,2.688821387764051e-14,-4.3368086899420177e-13,2.710505431213761e-14,0
0.256,0.058410604508196615,0.5368980532786886,0.05,0.031858350409836186,-0.04962858606558096,0.0,5.421010862427522e-14,4.3368086899420177e-13,0.0,0
0.264,0.05866547131147531,0.5365010245901639,0.05,0.031858350409836624,-0.04962858606556708,0.0,0.0,8.673617379884035e-13,0.0,0
0.272,0.058920338114754,0.5361039959016395,0.05,0.031858350409836186,-0.04962858606556708,0.0,-5.421010862427522e-14,-8.673617379884035e-13,0.0,0
0.28,0.05917520491803269,0.5357069672131148,0.05,0.031858350409835756,-0.04962858606558096,0.0,-2.688821387764051e-14,-4.3368086899420177e-13,0.0,0
0.28800000000000003,0.05943007172131137,0.5353099385245902,0.05,0.031858350409835756,-0.04962858606557402,0.0,2.688821387764051e-14,4.3368086899420177e-13,0.0,0
0.296,0.05968493852459006,0.5349129098360657,0.05,0.031858350409836186,-0.04962858606557402,0.0,5.421010862427522e-14,-4.3368086899420177e-13,0.0,0
0.304,0.05993980532786875,0.534515881147541,0.05,0.031858350409836624,-0.04962858606558096,0.0,0.0,0.0,0.0,0
0.312,0.060194672131147445,0.5341188524590164,0.05,0.031858350409836186,-0.04962858606557402,0.0,-5.421010862427522e-14,8.673617379884035e-13,0.0,0
0.32,0.06044953893442613,0.5337218237704918,0.05,0.031858350409835756,-0.04962858606556708,0.0,0.0,0.0,0.0,0
0.328,0.06070440573770482,0.5333247950819673,0.05,0.031858350409836186,-0.04962858606557402,0.0,2.688821387764051e-14,-4.3368086899420177e-13,0.0,0
0.336,0.06095927254098351,0.5329277663934426,0.05,0.031858350409836186,-0.04962858606557402,0.0,0.0,0.0,0.0,0
0.34400000000000003,0.061214139344262196,0.5325307377049181,0.05,0.031858350409836186,-0.04962858606557402,0.0,0.0,0.0,0.0,0
0.352,0.06146900614754089,0.5321337090163935,0.05,0.031858350409836186,-0.04962858606557402,0.0,-2.688821387764051e-14,4.3368086899420177e-13,0.0,0
0.36,0.061723872950819575,0.5317366803278689,0.05,0.031858350409835756,-0.04962858606556708,0.0,-2.688821387764051e-14,0.0,-2.710505431213761e-14,0
