t,x,y,z,rx,ry,rz
0.0,-0.20669297050463553,0.4198421769721869,0.0,3.14,0,0
0.008,-0.2067192743426044,0.41968435394437376,0.0,3.14,0,0
0.016,-0.20674557818057326,0.4195265309165606,0.0,3.14,0,0
0.024,-0.20677188201854213,0.41936870788874747,0.0,3.14,0,0
0.032,-0.206798185856511,0.41921088486093433,0.0,3.14,0,0
0.04,-0.20682448969447986,0.4190530618331212,0.0,3.14,0,0
0.048,-0.20685079353244873,0.41889523880530805,0.0,3.14,0,0
0.056,-0.2068770973704176,0.4187374157774949,0.0,3.14,0,0
0.064,-0.20690340120838646,0.41857959274968176,0.0,3.14,0,0
0.07200000000000001,-0.20692970504635533,0.4184217697218686,0.0,3.14,0,0
0.08000000000000002,-0.2069560088843242,0.4182639466940555,0.0,3.14,0,0
0.08800000000000002,-0.20698231272229306,0.41810612366624234,0.0,3.14,0,0
0.09600000000000003,-0.20700861656026193,0.4179483006384292,0.0,3.14,0,0
0.10400000000000004,-0.2070349203982308,0.41779047761061605,0.0,3.14,0,0
0.11200000000000004,-0.20706122423619966,0.4176326545828029,0.0,3.14,0,0
0.12000000000000005,-0.20708752807416853,0.41747483155498977,0.0,3.14,0,0
0.12800000000000006,-0.2071138319121374,0.4173170085271766,0.0,3.14,0,0
0.13600000000000007,-0.20714013575010626,0.4171591854993635,0.0,3.14,0,0
0.14400000000000007,-0.20716643958807512,0.41700136247155034,0.0,3.14,0,0
0.15200000000000008,-0.207192743426044,0.4168435394437372,0.0,3.14,0,0
0.1600000000000001,-0.20721904726401286,0.41668571641592406,0.0,3.14,0,0
0.1680000000000001,-0.20724535110198172,0.4165278933881109,0.0,3.14,0,0
0.1760000000000001,-0.2072716549399506,0.4163700703602978,0.0,3.14,0,0
0.1840000000000001,-0.20729795877791946,0.41621224733248463,0.0,3.14,0,0
0.19200000000000012,-0.20732426261588832,0.4160544243046715,0.0,3.14,0,0
0.20000000000000012,-0.2073505664538572,0.41589660127685835,0.0,3.14,0,0
0.20800000000000013,-0.20737687029182605,0.4157387782490452,0.0,3.14,0,0
0.21600000000000014,-0.20740317412979492,0.41558095522123206,0.0,3.14,0,0
0.22400000000000014,-0.2074294779677638,0.4154231321934189,0.0,3.14,0,0
0.23200000000000015,-0.20745578180573265,0.4152653091656058,0.0,3.14,0,0
0.24000000000000016,-0.20748208564370152,0.41510748613779264,0.0,3.14,0,0
0.24800000000000016,-0.20750000000000002,0.41484000000000004,0.0,3.14,0,0
0.25600000000000017,-0.20750000000000002,0.41468000000000005,0.0,3.14,0,0
0.2640000000000002,-0.20750000000000002,0.41452000000000006,0.0,3.14,0,0
0.2720000000000002,-0.20750000000000002,0.41436000000000006,0.0,3.14,0,0
0.2800000000000002,-0.20750000000000002,0.41420000000000007,0.0,3.14,0,0
0.2880000000000002,-0.20750000000000002,0.4140400000000001,0.0,3.14,0,0
0.2960000000000002,-0.20750000000000002,0.4138800000000001,0.0,3.14,0,0
0.3040000000000002,-0.20750000000000002,0.4137200000000001,0.0,3.14,0,0
0.3120000000000002,-0.20750000000000002,0.4135600000000001,0.0,3.14,0,0
0.32000000000000023,-0.20750000000000002,0.4134000000000001,0.0,3.14,0,0
0.32800000000000024,-0.20750000000000002,0.4132400000000001,0.0,3.14,0,0
0.33600000000000024,-0.20750000000000002,0.4130800000000001,0.0,3.14,0,0
0.34400000000000025,-0.20750000000000002,0.4129200000000001,0.0,3.14,0,0
0.35200000000000026,-0.20750000000000002,0.4127600000000001,0.0,3.14,0,0
0.36000000000000026,-0.20750000000000002,0.41260000000000013,0.0,3.14,0,0
0.36800000000000027,-0.20750000000000002,0.41244000000000014,0.0,3.14,0,0
0.3760000000000003,-0.20750000000000002,0.41228000000000015,0.0,3.14,0,0
0.3840000000000003,-0.20750000000000002,0.41212000000000015,0.0,3.14,0,0
0.3920000000000003,-0.20750000000000002,0.41196000000000016,0.0,3.14,0,0
0.4000000000000003,-0.20750000000000002,0.41180000000000017,0.0,3.14,0,0
0.4080000000000003,-0.20750000000000002,0.4116400000000002,0.0,3.14,0,0
0.4160000000000003,-0.20750000000000002,0.4114800000000002,0.0,3.14,0,0
0.4240000000000003,-0.20750000000000002,0.4113200000000002,0.0,3.14,0,0
0.43200000000000033,-0.20750000000000002,0.4111600000000002,0.0,3.14,0,0
0.44000000000000034,-0.20750000000000002,0.4110000000000002,0.0,3.14,0,0
0.44800000000000034,-0.20750000000000002,0.4108400000000002,0.0,3.14,0,0
0.45600000000000035,-0.20750000000000002,0.4106800000000002,0.0,3.14,0,0
0.46400000000000036,-0.20750000000000002,0.4105200000000002,0.0,3.14,0,0
0.47200000000000036,-0.20750000000000002,0.4103600000000002,0.0,3.14,0,0
0.48000000000000037,-0.20750000000000002,0.41020000000000023,0.0,3.14,0,0
0.4880000000000004,-0.20750000000000002,0.41004000000000024,0.0,3.14,0,0
0.4960000000000004,-0.20752630383796888,0.4098421769721869,0.0,3.14,0,0
0.5040000000000003,-0.20755260767593775,0.40968435394437375,0.0,3.14,0,0
0.5120000000000003,-0.20757891151390662,0.4095265309165606,0.0,3.14,0,0
0.5200000000000004,-0.20760521535187548,0.40936870788874746,0.0,3.14,0,0
0.5280000000000004,-0.20763151918984435,0.4092108848609343,0.0,3.14,0,0
0.5360000000000004,-0.20765782302781322,0.4090530618331212,0.0,3.14,0,0
0.5440000000000004,-0.20768412686578208,0.40889523880530804,0.0,3.14,0,0
0.5520000000000004,-0.20771043070375095,0.4087374157774949,0.0,3.14,0,0
