Time,q1,q2,q3,q4,q5,q6,Action
0.0,1.064,-0.1159999999999998,0.1,0,-1.57,0,Set_Draw
0.008,1.064,-0.1159999999999998,0.0999936,0,-1.57,0,Set_Draw
0.016,1.064,-0.1159999999999998,0.0999744,0,-1.57,0,Set_Draw
0.024,1.064,-0.1159999999999998,0.0999424,0,-1.57,0,Set_Draw
0.032,1.064,-0.1159999999999998,0.0998976,0,-1.57,0,Set_Draw
0.04,1.064,-0.1159999999999998,0.09984000000000001,0,-1.57,0,Set_Draw
0.048,1.064,-0.1159999999999998,0.0997696,0,-1.57,0,Set_Draw
0.056,1.064,-0.1159999999999998,0.09968640000000001,0,-1.57,0,Set_Draw
0.064,1.064,-0.1159999999999998,0.09959040000000001,0,-1.57,0,Set_Draw
0.07200000000000001,1.064,-0.1159999999999998,0.0994816,0,-1.57,0,Set_Draw
0.08000000000000002,1.064,-0.1159999999999998,0.09936,0,-1.57,0,Set_Draw
0.08800000000000002,1.064,-0.1159999999999998,0.09922560000000001,0,-1.57,0,Set_Draw
0.09600000000000003,1.064,-0.1159999999999998,0.09907840000000001,0,-1.57,0,Set_Draw
0.10400000000000004,1.064,-0.1159999999999998,0.09892000000000001,0,-1.57,0,Set_Draw
0.11200000000000004,1.064,-0.1159999999999998,0.09876,0,-1.57,0,Set_Draw
0.12000000000000005,1.064,-0.1159999999999998,0.09860000000000001,0,-1.57,0,Set_Draw
0.12800000000000006,1.064,-0.1159999999999998,0.09844,0,-1.57,0,Set_Draw
0.13600000000000007,1.064,-0.1159999999999998,0.09828,0,-1.57,0,Set_Draw
0.14400000000000007,1.064,-0.1159999999999998,0.09812,0,-1.57,0,Set_Draw
0.15200000000000008,1.064,-0.1159999999999998,0.09796,0,-1.57,0,Set_Draw
0.1600000000000001,1.064,-0.1159999999999998,0.09780000000000001,0,-1.57,0,Set_Draw
0.1680000000000001,1.064,-0.1159999999999998,0.09764,0,-1.57,0,Set_Draw
0.1760000000000001,1.064,-0.1159999999999998,0.09748000000000001,0,-1.57,0,Set_Draw
0.1840000000000001,1.064,-0.1159999999999998,0.09732,0,-1.57,0,Set_Draw
0.19200000000000012,1.064,-0.1159999999999998,0.09716000000000001,0,-1.57,0,Set_Draw
