t,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
0.800861,-0.213118,0.099220,0.000000,0.000000,3.141593,0.000000,-0.059331,-0.001722,0.000000,-0.017927,-0.047100,0.000000
0.820882,-0.214309,0.099176,0.000000,0.000000,3.141593,0.000000,-0.059685,-0.002675,0.000000,-0.017415,-0.048132,0.000000
0.840904,-0.215507,0.099113,0.000000,0.000000,3.141593,0.000000,-0.060029,-0.003649,0.000000,-0.016903,-0.049163,0.000000
0.860925,-0.216713,0.099030,0.000000,0.000000,3.141593,0.000000,-0.060362,-0.004644,0.000000,-0.016392,-0.050195,0.000000
0.880947,-0.217924,0.098927,0.000000,0.000000,3.141593,0.000000,-0.060685,-0.005659,0.000000,-0.015880,-0.051227,0.000000
0.900968,-0.219143,0.098803,0.000000,0.000000,3.141593,0.000000,-0.060988,-0.006686,0.000000,-0.013145,-0.050182,0.000000
0.920990,-0.220366,0.098659,0.000000,0.000000,3.141593,0.000000,-0.061197,-0.007655,0.000000,-0.007757,-0.046662,0.000000
0.941011,-0.221592,0.098497,0.000000,0.000000,3.141593,0.000000,-0.061298,-0.008554,0.000000,-0.002369,-0.043141,0.000000
0.961033,-0.222820,0.098317,0.000000,0.000000,3.141593,0.000000,-0.061292,-0.009383,0.000000,0.003018,-0.039621,0.000000
0.981054,-0.224046,0.098122,0.000000,0.000000,3.141593,0.000000,-0.061178,-0.010141,0.000000,0.008406,-0.036100,0.000000
1.001076,-0.225269,0.097912,0.000000,0.000000,3.141593,0.000000,-0.060955,-0.010828,0.000000,0.013793,-0.032579,0.000000
1.021097,-0.226486,0.097688,0.000000,0.000000,3.141593,0.000000,-0.060625,-0.011445,0.000000,0.019181,-0.029059,0.000000
1.041119,-0.227696,0.097454,0.000000,0.000000,3.141593,0.000000,-0.060187,-0.011992,0.000000,0.024568,-0.025538,0.000000
1.061140,-0.228895,0.097209,0.000000,0.000000,3.141593,0.000000,-0.059641,-0.012468,0.000000,0.029956,-0.022018,0.000000
1.081162,-0.230083,0.096955,0.000000,0.000000,3.141593,0.000000,-0.058988,-0.012873,0.000000,0.035343,-0.018497,0.000000
1.101183,-0.231257,0.096694,0.000000,0.000000,3.141593,0.000000,-0.058226,-0.013209,0.000000,0.040731,-0.014977,0.000000
1.121205,-0.232414,0.096427,0.000000,0.000000,3.141593,0.000000,-0.057357,-0.013473,0.000000,0.046118,-0.011456,0.000000
1.141226,-0.233553,0.096155,0.000000,0.000000,3.141593,0.000000,-0.056380,-0.013667,0.000000,0.051506,-0.007936,0.000000
1.161248,-0.234671,0.095880,0.000000,0.000000,3.141593,0.000000,-0.055294,-0.013791,0.000000,0.056894,-0.004415,0.000000
1.181269,-0.235766,0.095603,0.000000,0.000000,3.141593,0.000000,-0.054101,-0.013844,0.000000,0.062281,-0.000895,0.000000
1.201291,-0.236837,0.095326,0.000000,0.000000,3.141593,0.000000,-0.052800,-0.013827,0.000000,0.067669,0.002626,0.000000
1.221312,-0.237880,0.095050,0.000000,0.000000,3.141593,0.000000,-0.051392,-0.013739,0.000000,0.073056,0.006146,0.000000
1.241334,-0.238894,0.094776,0.000000,0.000000,3.141593,0.000000,-0.049875,-0.013581,0.000000,0.078444,0.009667,0.000000
1.261355,-0.239876,0.094506,0.000000,0.000000,3.141593,0.000000,-0.048251,-0.013352,0.000000,0.083831,0.013187,0.000000
1.281377,-0.240825,0.094242,0.000000,0.000000,3.141593,0.000000,-0.046518,-0.013053,0.000000,0.089219,0.016708,0.000000
1.301399,-0.241738,0.093984,0.000000,0.000000,3.141593,0.000000,-0.044678,-0.012683,0.000000,0.094606,0.020228,0.000000
1.321420,-0.242613,0.093735,0.000000,0.000000,3.141593,0.000000,-0.042730,-0.012243,0.000000,0.099994,0.023749,0.000000
1.341442,-0.243449,0.093494,0.000000,0.000000,3.141593,0.000000,-0.040674,-0.011732,0.000000,0.105381,0.027270,0.000000
1.361463,-0.244241,0.093265,0.000000,0.000000,3.141593,0.000000,-0.038510,-0.011151,0.000000,0.110769,0.030790,0.000000
1.381485,-0.244990,0.093048,0.000000,0.000000,3.141593,0.000000,-0.036246,-0.010492,0.000000,0.113481,0.036761,0.000000
1.401506,-0.245693,0.092847,0.000000,0.000000,3.141593,0.000000,-0.034016,-0.009633,0.000000,0.109271,0.049071,0.000000
1.421528,-0.246353,0.092664,0.000000,0.000000,3.141593,0.000000,-0.031870,-0.008527,0.000000,0.105060,0.061382,0.000000
1.441549,-0.246970,0.092507,0.000000,0.000000,3.141593,0.000000,-0.029809,-0.007175,0.000000,0.100849,0.073693,0.000000
