x,y,z,type,cmd,path_id,count
0.728,-0.0024,0.0,1,DRAW_SEGMENT,1,
0.7268,-0.0024,0.0,1,DRAW_SEGMENT,1,
0.7256,-0.0024,0.0,1,DRAW_SEGMENT,1,
0.7256,-0.0024,0.0,0,PEN_DOWN,1,
0.7256,-0.0024,0.05,0,LIFT_PEN,1,
0.7232,0.0,0.05,0,TRAVEL_APPROACH,2,
0.7232,0.0,0.0,0,PEN_DOWN,2,
0.7232,0.0,0.0,1,DRAW_SEGMENT,2,
0.7243999999999999,-0.0012,0.0,1,DRAW_SEGMENT,2,
0.7256,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.7268,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.728,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.7292,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.7303999999999999,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.7316,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.7328,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.734,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.7352,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.7363999999999999,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.7376,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.7388,-0.0024,0.0,1,DRAW_SEGMENT,2,
0.74,-0.0012,0.0,1,DRAW_SEGMENT,2,
0.7412,-0.0012,0.0,1,DRAW_SEGMENT,2,
0.7424,0.0,0.0,1,DRAW_SEGMENT,2,
0.7436,0.0012,0.0,1,DRAW_SEGMENT,2,
0.7424,0.0024,0.0,1,DRAW_SEGMENT,2,
0.7424,0.0036,0.0,1,DRAW_SEGMENT,2,
0.7424,0.0048,0.0,1,DRAW_SEGMENT,2,
0.7424,0.005999999999999999,0.0,1,DRAW_SEGMENT,2,
0.7412,0.0072,0.0,1,DRAW_SEGMENT,2,
0.74,0.0084,0.0,1,DRAW_SEGMENT,2,
0.7388,0.0096,0.0,1,DRAW_SEGMENT,2,
0.7376,0.010799999999999999,0.0,1,DRAW_SEGMENT,2,
0.7363999999999999,0.010799999999999999,0.0,1,DRAW_SEGMENT,2,
