t,x,y,z,vx,vy,vz,ax,ay,az
0.0,0.25,0.25,0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.2500000434212369,0.24999997267877225,0.04999999999999999,1.6282963846624022e-05,-1.0245460397875788e-05,0.0,0.0040707409616560055,-0.0025613650994689464,0.0
0.016,0.2500003473698954,0.2499997814301782,0.05000000000000001,6.513185538649609e-05,-4.098184159150315e-05,0.0,0.008141481923312011,-0.005122730198937893,0.0
0.024,0.2500011723733969,0.24999926232685132,0.05,0.00014654667461961622,-9.22091435808821e-05,0.0,0.012212222884968017,-0.00768409529840684,0.0
0.032,0.2500027789591632,0.24999825144142546,0.05,0.00026052742154598435,-0.0001639273663660126,0.0,0.016282963846624022,-0.010245460397875786,0.0
0.04,0.25000542765461553,0.24999658484653406,0.05,0.00040707409616560055,-0.0002561365099468947,0.0,0.02035370480828003,-0.012806825497344734,0.0
0.048,0.2500093789871756,0.24999409861481078,0.049999999999999996,0.0005861866984784649,-0.0003688365743235284,0.0,0.024424445769936035,-0.01536819059681368,0.0
0.056,0.25001489348426503,0.24999062881888942,0.05,0.000797865228484577,-0.0005020275594959135,0.0,0.02849518673159204,-0.017929555696282625,0.0
0.064,0.25002223167330523,0.24998601153140343,0.05,0.0010421096861839374,-0.0006557094654640504,0.0,0.032565927693248044,-0.02049092079575157,0.0
0.07200000000000001,0.2500316540817179,0.24998008282498657,0.05000000000000001,0.001318920071576546,-0.0008298822922279389,0.0,0.03663666865490405,-0.02305228589522052,0.0
0.08,0.2500434212369243,0.2499726787722723,0.049999999999999996,0.0016282963846624022,-0.0010245460397875787,0.0,0.04070740961656006,-0.025613650994689468,0.0
0.088,0.2500577936663463,0.24996363544589448,0.05000000000000001,0.0019702386254415068,-0.00123970070814297,0.0,0.04477815057821606,-0.02817501609415841,0.0
0.096,0.2500750318974052,0.24995278891848657,0.05,0.0023447467939138595,-0.0014753462972941136,0.0,0.04884889153987207,-0.03073638119362736,0.0
0.10400000000000001,0.25009539645752277,0.2499399752626823,0.04999999999999999,0.0027518208900794605,-0.0017314828072410083,0.0,0.05291963250152808,-0.03329774629309631,0.0
0.112,0.2501191478741204,0.24992503055111526,0.05,0.003191460913938308,-0.002008110237983654,0.0,0.05699037346318408,-0.03585911139256525,0.0
0.12,0.2501465466746196,0.24990779085641912,0.05,0.0036636668654904045,-0.0023052285895220513,0.0,0.06106111442484008,-0.0384204764920342,0.0
0.128,0.2501778533864421,0.2498880922512275,0.05000000000000002,0.00416843874473575,-0.0026228378618562017,0.0,0.06513185538649609,-0.04098184159150314,0.0
0.136,0.2502133285370092,0.24986577080817393,0.05,0.0047057765516743425,-0.0029609380549861027,0.0,0.0692025963481521,-0.04354320669097209,0.0
0.14400000000000002,0.25025323265374266,0.24984066259989224,0.049999999999999996,0.005275680286306184,-0.0033195291689117556,0.0,0.0732733373098081,-0.04610457179044104,0.0
0.152,0.250297826264064,0.24981260369901592,0.05,0.005878149948631272,-0.0036986112036331586,0.0,0.0773440782714641,-0.048665936889909986,0.0
0.16,0.25034736989539463,0.2497814301781786,0.05,0.006513185538649609,-0.004098184159150315,0.0,0.08141481923312012,-0.051227301989378936,0.0
0.168,0.2504021240751563,0.24974697811001412,0.05000000000000001,0.0071807870563611945,-0.0045182480354632225,0.0,0.08548556019477613,-0.053788667088847886,0.0
0.176,0.2504623493307703,0.24970908356715577,0.05,0.007880954501766027,-0.00495880283257188,0.0,0.08955630115643212,-0.05635003218831682,0.0
0.184,0.2505283061896583,0.24966758262223748,0.05000000000000001,0.008613687874864108,-0.005419848550476291,0.0,0.09362704211808813,-0.05891139728778577,0.0
0.192,0.250600255179242,0.24962231134789278,0.05000000000000001,0.009378987175655438,-0.005901385189176454,0.0,0.09769778307974414,-0.06147276238725472,0.0
0.2,0.2506784568269426,0.24957310581675515,0.05,0.010176852404140017,-0.006403412748672368,0.0,0.10176852404140015,-0.06403412748672367,0.0
0.20800000000000002,0.2507631716601821,0.24951980210145852,0.05000000000000001,0.011007283560317842,-0.006925931228964033,0.0,0.10583926500305615,-0.06659549258619261,0.0
0.216,0.2508546602063816,0.24946223627463626,0.05000000000000001,0.01187028064418891,-0.007468940630051447,0.0,0.10991000596471213,-0.06915685768566156,0.0
0.224,0.25095318299296293,0.24940024440892222,0.05000000000000002,0.012765843655753232,-0.008032440951934616,0.0,0.11398074692636816,-0.0717182227851305,0.0
0.232,0.2510590005473475,0.2493336625769499,0.05,0.013693972595010801,-0.008616432194613537,0.0,0.11805148788802416,-0.07427958788459946,0.0
0.24,0.25117237339695686,0.24926232685135288,0.04999999999999999,0.014654667461961618,-0.009220914358088205,0.0,0.12212222884968016,-0.0768409529840684,0.0
0.248,0.2512935620692128,0.24918607330476505,0.05,0.015647928256605687,-0.009845887442358632,0.0,0.12619296981133618,-0.07940231808353736,0.0
0.256,0.25142282709153646,0.24910473800981975,0.049999999999999996,0.016673754978943,-0.010491351447424807,0.0,0.13026371077299218,-0.08196368318300629,0.0
0.264,0.2515604289913497,0.2490181570391508,0.05000000000000001,0.017732147628973564,-0.011157306373286734,0.0,0.1343344517346482,-0.08452504828247524,0.0
0.272,0.25170662829607393,0.24892616646539173,0.05,0.01882310620669737,-0.01184375221994441,0.0,0.1384051926963042,-0.08708641338194419,0.0
0.28,0.25186168553313065,0.24882860236117615,0.049999999999999996,0.019946630712114433,-0.012550688987397843,0.0,0.1424759336579602,-0.08964777848141314,0.0
0.28800000000000003,0.2520258612299416,0.2487253007991379,0.05000000000000001,0.021102721145224736,-0.013278116675647022,0.0,0.1465466746196162,-0.09220914358088209,0.0
0.296,0.2521994159139282,0.24861609785191044,0.05000000000000002,0.022291377506028283,-0.014026035284691948,0.0,0.15061741558127217,-0.09477050868035101,0.0
0.304,0.2523826101125119,0.24850082959212738,0.05000000000000002,0.023512599794525087,-0.014794444814532634,0.0,0.1546881565429282,-0.09733187377981997,0.0
0.312,0.2525757043531143,0.24837933209242238,0.049999999999999996,0.024766388010715134,-0.01558334526516907,0.0,0.15875889750458422,-0.09989323887928891,0.0
0.32,0.2527789591631572,0.2482514414254292,0.049999999999999996,0.026052742154598435,-0.01639273663660126,0.0,0.16282963846624024,-0.10245460397875787,0.0
0.328,0.2529926350700618,0.24811699366378137,0.05,0.02737166222617498,-0.017222618928829196,0.0,0.16690037942789623,-0.10501596907822681,0.0
0.336,0.2532169926012498,0.24797582488011247,0.05,0.028723148225444778,-0.01807299214185289,0.0,0.17097112038955226,-0.10757733417769577,0.0
