x,y,z
4.000000000000000222e-01,-2.000000000000000111e-01,5.000000000000000278e-02
3.999999999999999667e-01,-1.999999999999999833e-01,4.918032786885245811e-02
4.000000000000000222e-01,-2.000000000000000111e-01,4.836065573770492038e-02
3.999999999999999667e-01,-1.999999999999999833e-01,4.754098360655737571e-02
4.000000000000000222e-01,-2.000000000000000111e-01,4.672131147540983798e-02
4.000000000000000222e-01,-2.000000000000000111e-01,4.590163934426230025e-02
4.000000000000000222e-01,-2.000000000000000111e-01,4.508196721311475558e-02
4.000000000000000222e-01,-2.000000000000000111e-01,4.426229508196721785e-02
4.000000000000000222e-01,-2.000000000000000111e-01,4.344262295081967318e-02
4.000000000000000222e-01,-2.000000000000000111e-01,4.262295081967213545e-02
4.000000000000000777e-01,-2.000000000000000389e-01,4.180327868852459772e-02
4.000000000000000222e-01,-2.000000000000000111e-01,4.098360655737705305e-02
4.000000000000000222e-01,-2.000000000000000111e-01,4.016393442622950838e-02
4.000000000000000222e-01,-2.000000000000000111e-01,3.934426229508197065e-02
4.000000000000000222e-01,-2.000000000000000111e-01,3.852459016393442598e-02
4.000000000000000222e-01,-2.000000000000000111e-01,3.770491803278688825e-02
4.000000000000000222e-01,-2.000000000000000111e-01,3.688524590163934358e-02
3.999999999999999667e-01,-1.999999999999999833e-01,3.606557377049179891e-02
4.000000000000000222e-01,-2.000000000000000111e-01,3.524590163934426118e-02
4.000000000000000222e-01,-2.000000000000000111e-01,3.442622950819672345e-02
4.000000000000000222e-01,-2.000000000000000111e-01,3.360655737704917878e-02
4.000000000000000222e-01,-2.000000000000000111e-01,3.278688524590164105e-02
4.000000000000000222e-01,-2.000000000000000111e-01,3.196721311475410332e-02
4.000000000000000222e-01,-2.000000000000000111e-01,3.114754098360655865e-02
4.000000000000000222e-01,-2.000000000000000111e-01,3.032786885245901745e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.950819672131147625e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.868852459016393505e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.786885245901639385e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.704918032786884918e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.622950819672130798e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.540983606557376678e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.459016393442622905e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.377049180327868785e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.295081967213114665e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.213114754098360545e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.131147540983606425e-02
4.000000000000000222e-01,-2.000000000000000111e-01,2.049180327868852652e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.967213114754098532e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.885245901639344412e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.803278688524589946e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.721311475409835826e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.639344262295081706e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.557377049180327933e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.475409836065573813e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.393442622950819693e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.311475409836065399e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.229508196721311279e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.147540983606556986e-02
4.000000000000000222e-01,-2.000000000000000111e-01,1.065573770491803386e-02
4.000000000000000222e-01,-2.000000000000000111e-01,9.836065573770492662e-03
4.000000000000000222e-01,-2.000000000000000111e-01,9.016393442622949728e-03
4.000000000000000222e-01,-2.000000000000000111e-01,8.196721311475408528e-03
4.000000000000000222e-01,-2.000000000000000111e-01,7.377049180327866461e-03
4.000000000000000222e-01,-2.000000000000000111e-01,6.557377049180324394e-03
4.000000000000000222e-01,-2.000000000000000111e-01,5.737704918032782327e-03
4.000000000000000222e-01,-2.000000000000000111e-01,4.918032786885246331e-03
4.000000000000000222e-01,-2.000000000000000111e-01,4.098360655737704264e-03
4.000000000000000222e-01,-2.000000000000000111e-01,3.278688524590162197e-03
4.000000000000000222e-01,-2.000000000000000111e-01,2.459016393442620130e-03
4.000000000000000222e-01,-2.000000000000000111e-01,1.639344262295078280e-03
4.000000000000000222e-01,-2.000000000000000111e-01,8.196721311475364292e-04
4.000000000000000222e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.000000000000000222e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.008064516129032362e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.016129032258065057e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.024193548387096642e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.032258064516129337e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.040322580645161477e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.048387096774194172e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.056451612903226311e-01,-2.000000000000000389e-01,0.000000000000000000e+00
4.064516129032258451e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.072580645161290591e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.080645161290323286e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.088709677419355426e-01,-2.000000000000000389e-01,0.000000000000000000e+00
4.096774193548387566e-01,-2.000000000000000389e-01,0.000000000000000000e+00
4.104838709677419706e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.112903225806451291e-01,-1.999999999999999833e-01,0.000000000000000000e+00
4.120967741935483986e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.129032258064516125e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.137096774193548820e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.145161290322580960e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.153225806451613100e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.161290322580645240e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.169354838709677935e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.177419354838710075e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.185483870967742215e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.193548387096774355e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.201612903225806495e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.209677419354839190e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.217741935483871329e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.225806451612904024e-01,-2.000000000000000389e-01,0.000000000000000000e+00
4.233870967741935609e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.241935483870967749e-01,-1.999999999999999833e-01,0.000000000000000000e+00
4.249999999999999889e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.258064516129032029e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.266129032258064724e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.274193548387097419e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.282258064516129004e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.290322580645161699e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.298387096774193838e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.306451612903225978e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.314516129032258673e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.322580645161290258e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.330645161290322953e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.338709677419355093e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.346774193548387233e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.354838709677419928e-01,-2.000000000000000111e-01,0.000000000000000000e+00
4.362903225806451513e-01,-2.000000000000000111e-01,0.000000000000000000e+00
