x,y,z,type,cmd
0.3014,0.0624,0.05,0,HOVER_START
0.3014,0.0624,0.0,0,LOWER
0.3014,0.0624,0.0,1,DRAW
0.3026,0.0612,0.0,1,DRAW
0.3026,0.06,0.0,1,DRAW
0.3026,0.0588,0.0,1,DRAW
0.3038,0.0576,0.0,1,DRAW
0.3038,0.05639999999999999,0.0,1,DRAW
0.3038,0.05519999999999999,0.0,1,DRAW
0.30500000000000005,0.05399999999999999,0.0,1,DRAW
0.30500000000000005,0.05279999999999999,0.0,1,DRAW
0.3062,0.05159999999999999,0.0,1,DRAW
0.3062,0.05039999999999999,0.0,1,DRAW
0.3062,0.049199999999999994,0.0,1,DRAW
0.3074,0.047999999999999994,0.0,1,DRAW
0.3074,0.046799999999999994,0.0,1,DRAW
0.3086,0.045599999999999995,0.0,1,DRAW
0.3086,0.044399999999999995,0.0,1,DRAW
0.3098,0.043199999999999995,0.0,1,DRAW
0.3098,0.041999999999999996,0.0,1,DRAW
0.3098,0.040799999999999996,0.0,1,DRAW
0.31100000000000005,0.039599999999999996,0.0,1,DRAW
0.31100000000000005,0.0384,0.0,1,DRAW
0.31220000000000003,0.0372,0.0,1,DRAW
0.31220000000000003,0.036,0.0,1,DRAW
0.31220000000000003,0.0348,0.0,1,DRAW
0.3134,0.0336,0.0,1,DRAW
0.3134,0.0324,0.0,1,DRAW
0.3146,0.0312,0.0,1,DRAW
0.3146,0.03,0.0,1,DRAW
0.3146,0.0288,0.0,1,DRAW
0.3158,0.027599999999999996,0.0,1,DRAW
0.3158,0.026399999999999996,0.0,1,DRAW
0.3158,0.025199999999999997,0.0,1,DRAW
0.3158,0.023999999999999997,0.0,1,DRAW
0.317,0.022799999999999997,0.0,1,DRAW
0.317,0.021599999999999998,0.0,1,DRAW
0.317,0.020399999999999998,0.0,1,DRAW
0.31820000000000004,0.0192,0.0,1,DRAW
0.31820000000000004,0.018,0.0,1,DRAW
0.31820000000000004,0.0168,0.0,1,DRAW
0.31820000000000004,0.0156,0.0,1,DRAW
0.3194,0.0144,0.0,1,DRAW
0.3194,0.013199999999999998,0.0,1,DRAW
0.3194,0.011999999999999999,0.0,1,DRAW
0.3194,0.010799999999999999,0.0,1,DRAW
0.3194,0.0096,0.0,1,DRAW
0.3206,0.0084,0.0,1,DRAW
0.3206,0.0072,0.0,1,DRAW
0.3206,0.005999999999999999,0.0,1,DRAW
0.3206,0.0048,0.0,1,DRAW
0.3206,0.0036,0.0,1,DRAW
0.3206,0.0024,0.0,1,DRAW
0.3218,0.0012,0.0,1,DRAW
0.3218,0.0,0.0,1,DRAW
0.3218,-0.0012,0.0,1,DRAW
0.3218,-0.0024,0.0,1,DRAW
0.3218,-0.0036,0.0,1,DRAW
0.3218,-0.0048,0.0,1,DRAW
0.3218,-0.005999999999999999,0.0,1,DRAW
0.3218,-0.0072,0.0,1,DRAW
0.323,-0.0084,0.0,1,DRAW
0.323,-0.0096,0.0,1,DRAW
0.323,-0.010799999999999999,0.0,1,DRAW
0.323,-0.011999999999999999,0.0,1,DRAW
0.32420000000000004,-0.013199999999999998,0.0,1,DRAW
0.32420000000000004,-0.0144,0.0,1,DRAW
0.3254,-0.0156,0.0,1,DRAW
0.3266,-0.0168,0.0,1,DRAW
0.3266,-0.018,0.0,1,DRAW
0.3278,-0.0192,0.0,1,DRAW
0.329,-0.0192,0.0,1,DRAW
0.33020000000000005,-0.020399999999999998,0.0,1,DRAW
0.33140000000000003,-0.021599999999999998,0.0,1,DRAW
0.3326,-0.021599999999999998,0.0,1,DRAW
0.3338,-0.022799999999999997,0.0,1,DRAW
0.335,-0.022799999999999997,0.0,1,DRAW
0.33620000000000005,-0.022799999999999997,0.0,1,DRAW
0.33740000000000003,-0.022799999999999997,0.0,1,DRAW
0.3386,-0.022799999999999997,0.0,1,DRAW
0.3398,-0.022799999999999997,0.0,1,DRAW
0.341,-0.022799999999999997,0.0,1,DRAW
0.3422,-0.022799999999999997,0.0,1,DRAW
0.34340000000000004,-0.022799999999999997,0.0,1,DRAW
0.3446,-0.022799999999999997,0.0,1,DRAW
0.3458,-0.022799999999999997,0.0,1,DRAW
0.347,-0.022799999999999997,0.0,1,DRAW
0.3482,-0.022799999999999997,0.0,1,DRAW
0.34940000000000004,-0.021599999999999998,0.0,1,DRAW
0.3506,-0.021599999999999998,0.0,1,DRAW
0.3518,-0.021599999999999998,0.0,1,DRAW
0.353,-0.020399999999999998,0.0,1,DRAW
0.3542,-0.020399999999999998,0.0,1,DRAW
0.35540000000000005,-0.020399999999999998,0.0,1,DRAW
0.35660000000000003,-0.0192,0.0,1,DRAW
