t,x,y,z,vx,vy,vz,type
0.0,0.05000042666666656,0.5499995733333334,0.05,0.00016,-0.00016,0.0,0
0.008,0.05000341333333323,0.5499965866666667,0.05,0.00064,-0.00064,0.0,0
0.016,0.0500115199999999,0.54998848,0.05,0.0014399999999999999,-0.0014399999999999999,0.0,0
0.024,0.05002730666666656,0.5499726933333334,0.05,0.00256,-0.00256,0.0,0
0.032,0.050053333333333234,0.5499466666666667,0.05,0.004,-0.004,0.0,0
0.04,0.0500921599999999,0.54990784,0.05,0.0057599999999999995,-0.0057599999999999995,0.0,0
0.048,0.050146346666666564,0.5498536533333334,0.05,0.007840000000000001,-0.007840000000000001,0.0,0
0.056,0.05021845333333323,0.5497815466666667,0.05,0.01024,-0.01024,0.0,0
0.064,0.0503110399999999,0.54968896,0.05,0.012960000000000003,-0.012960000000000003,0.0,0
0.07200000000000001,0.050426666666666564,0.5495733333333334,0.05,0.016000000000000007,-0.016000000000000007,0.0,0
0.08000000000000002,0.05056789333333323,0.5494321066666668,0.05,0.01936000000000001,-0.01936000000000001,0.0,0
0.08800000000000002,0.0507372799999999,0.5492627200000001,0.05,0.023040000000000015,-0.023040000000000015,0.0,0
0.09600000000000003,0.05093738666666656,0.5490626133333334,0.05,0.027040000000000022,-0.027040000000000022,0.0,0
0.10400000000000004,0.05117077333333323,0.5488292266666667,0.05,0.03136000000000003,-0.03136000000000003,0.0,0
0.11200000000000004,0.0514399999999999,0.54856,0.05,0.03600000000000003,-0.03600000000000003,0.0,0
0.12000000000000005,0.05174762666666657,0.5482523733333333,0.05,0.04096000000000004,-0.04096000000000004,0.0,0
0.12800000000000006,0.05209621333333324,0.5479037866666667,0.05,0.046240000000000045,-0.046240000000000045,0.0,0
0.13600000000000007,0.0524883199999999,0.5475116800000001,0.05,0.05184000000000005,-0.05184000000000005,0.0,0
0.14400000000000007,0.05292650666666657,0.5470734933333333,0.05,0.05776000000000006,-0.05776000000000006,0.0,0
0.15200000000000008,0.053413333333333236,0.5465866666666667,0.05,0.06400000000000007,-0.06400000000000007,0.0,0
0.1600000000000001,0.05395135999999991,0.5460486400000001,0.05,0.07056000000000008,-0.07056000000000008,0.0,0
0.1680000000000001,0.05454312007210997,0.5454568533333334,0.05,0.07740830923858545,-0.07744000000000009,0.0,0
0.1760000000000001,0.05518931425736012,0.5448087466666667,0.05,0.08408690374061993,-0.0846400000000001,0.0,0
0.1840000000000001,0.05588765719862656,0.54410176,0.05,0.09044549824265442,-0.09216000000000012,0.0,0
0.19200000000000012,0.056635588895909264,0.5433333333333333,0.05,0.09648409274468892,-0.10000000000000012,0.0,0
0.20000000000000012,0.05743054934920825,0.5425013333333333,0.05,0.1022026872467234,-0.10800000000000012,0.0,0
0.20800000000000013,0.058269978558523505,0.5416053333333333,0.05,0.1076012817487579,-0.11600000000000013,0.0,0
0.21600000000000014,0.059151316523855045,0.5406453333333333,0.05,0.11267987625079239,-0.12400000000000014,0.0,0
0.22400000000000014,0.06007200324520286,0.5396213333333333,0.05,0.11743847075282687,-0.13200000000000014,0.0,0
0.23200000000000015,0.06102947872256694,0.5385333333333333,0.05,0.12187706525486136,-0.14000000000000015,0.0,0
0.24000000000000016,0.0620211829559473,0.5373813333333333,0.05,0.12599565975689583,-0.14800000000000016,0.0,0
0.24800000000000016,0.06304455594534394,0.5361655133333333,0.05,0.12979425425893032,-0.1559100000000002,0.0,0
0.25600000000000017,0.06409703769075686,0.53488762,0.05,0.13327284876096482,-0.16351000000000018,0.0,0
0.2640000000000002,0.06517606819218605,0.5335502066666666,0.05,0.1364314432629993,-0.1707900000000002,0.0,0
0.2720000000000002,0.06627908744963151,0.5321558333333333,0.05,0.13927003776503377,-0.17775000000000019,0.0,0
0.2800000000000002,0.06740353546309326,0.53070706,0.05,0.14178863226706828,-0.1843900000000002,0.0,0
0.2880000000000002,0.06854685223257127,0.5292064466666666,0.05,0.14398722676910275,-0.19071000000000018,0.0,0
0.2960000000000002,0.06970647775806557,0.5276565533333333,0.05,0.14586582127113723,-0.19671000000000016,0.0,0
0.3040000000000002,0.07087985203957614,0.52605994,0.05,0.14742441577317172,-0.20239000000000018,0.0,0
0.3120000000000002,0.07206441507710298,0.5244191666666667,0.05,0.14866301027520618,-0.20775000000000016,0.0,0
0.32000000000000023,0.07325760687064611,0.5227367933333333,0.05,0.14958160477724067,-0.21279000000000015,0.0,0
0.32800000000000024,0.0744568674202055,0.5210153799999999,0.05,0.15018019927927515,-0.21751000000000015,0.0,0
0.33600000000000024,0.07565963672578117,0.5192574866666666,0.05,0.1504587937813096,-0.22191000000000016,0.0,0
0.34400000000000025,0.07686346116559953,0.5174656733333333,0.05,0.1504807698061734,-0.22599000000000014,0.0,0
0.35200000000000026,0.07806730732404892,0.5156425,0.05,0.1504807698061734,-0.22975000000000012,0.0,0
0.36000000000000026,0.0792711534824983,0.5137905266666666,0.05,0.1504807698061734,-0.23319000000000012,0.0,0
0.36800000000000027,0.08047499964094769,0.5119123133333333,0.05,0.1504807698061734,-0.23631000000000013,0.0,0
0.3760000000000003,0.08167884579939708,0.51001042,0.05,0.1504807698061734,-0.2391100000000001,0.0,0
0.3840000000000003,0.08288269195784646,0.5080874066666666,0.05,0.1504807698061734,-0.24159000000000008,0.0,0
0.3920000000000003,0.08408653811629585,0.5061458333333333,0.05,0.1504807698061734,-0.24375000000000008,0.0,0
0.4000000000000003,0.08529038427474524,0.5041882599999999,0.05,0.1504807698061734,-0.24559000000000009,0.0,0
0.4080000000000003,0.08649423043319462,0.5022172466666666,0.05,0.1504807698061734,-0.24711000000000005,0.0,0
0.4160000000000003,0.08769807659164401,0.5002353533333332,0.05,0.1504807698061734,-0.24831000000000006,0.0,0
0.4240000000000003,0.0889019227500934,0.4982451399999999,0.05,0.1504807698061734,-0.24919000000000005,0.0,0
0.43200000000000033,0.0901057689085428,0.49624916666666663,0.05,0.1504807698061734,-0.24975000000000003,0.0,0
0.44000000000000034,0.09130961506699219,0.49424999333333325,0.05,0.1504807698061734,-0.24999000000000002,0.0,0
0.44800000000000034,0.09251346122544157,0.49224999999999997,0.05,0.1504807698061734,-0.25,0.0,0
0.45600000000000035,0.09371730738389096,0.49024999999999996,0.05,0.1504807698061734,-0.25,0.0,0
0.46400000000000036,0.09492115354234035,0.48824999999999996,0.05,0.1504807698061734,-0.25,0.0,0
0.47200000000000036,0.09612499970078973,0.48624999999999996,0.05,0.1504807698061734,-0.25,0.0,0
0.48000000000000037,0.09732884585923912,0.48424999999999996,0.05,0.1504807698061734,-0.25,0.0,0
0.4880000000000004,0.09853269201768851,0.48224999999999996,0.05,0.1504807698061734,-0.25,0.0,0
0.4960000000000004,0.0997365381761379,0.48024999999999995,0.05,0.1504807698061734,-0.25,0.0,0
0.5040000000000003,0.10094038433458728,0.47824999999999995,0.05,0.1504807698061734,-0.25,0.0,0
0.5120000000000003,0.10214423049303667,0.47624999999999995,0.05,0.1504807698061734,-0.25,0.0,0
0.5200000000000004,0.10334807665148606,0.47424999999999995,0.05,0.1504807698061734,-0.25,0.0,0
0.5280000000000004,0.10455192280993544,0.47224999999999995,0.05,0.1504807698061734,-0.25,0.0,0
0.5360000000000004,0.10575576896838483,0.47024999999999995,0.05,0.1504807698061734,-0.25,0.0,0
0.5440000000000004,0.10695961512683422,0.46824999999999994,0.05,0.1504807698061734,-0.25,0.0,0
0.5520000000000004,0.1081634612852836,0.46624999999999994,0.05,0.1504807698061734,-0.25,0.0,0
0.5600000000000004,0.10936730744373299,0.46424999999999994,0.05,0.1504807698061734,-0.25,0.0,0
0.5680000000000004,0.11057115360218239,0.46224999999999994,0.05,0.1504807698061734,-0.25,0.0,0
0.5760000000000004,0.11177499976063177,0.46024999999999994,0.05,0.1504807698061734,-0.25,0.0,0
0.5840000000000004,0.11297884591908117,0.45824999999999994,0.05,0.1504807698061734,-0.25,0.0,0
0.5920000000000004,0.11418269207753054,0.45624999999999993,0.05,0.1504807698061734,-0.25,0.0,0
0.6000000000000004,0.11538653823597994,0.45424999999999993,0.05,0.1504807698061734,-0.25,0.0,0
0.6080000000000004,0.11659038439442933,0.45224999999999993,0.05,0.1504807698061734,-0.25,0.0,0
0.6160000000000004,0.11779423055287871,0.45024999999999993,0.05,0.1504807698061734,-0.25,0.0,0
0.6240000000000004,0.1189980767113281,0.4482499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.6320000000000005,0.12020192286977749,0.4462499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.6400000000000005,0.12140576902822688,0.4442499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.6480000000000005,0.12260961518667626,0.4422499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.6560000000000005,0.12381346134512566,0.4402499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.6640000000000005,0.12501730750357504,0.4382499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.6720000000000005,0.12622115366202444,0.4362499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.6800000000000005,0.1274249998204738,0.4342499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.6880000000000005,0.1286288459789232,0.4322499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.6960000000000005,0.12983269213737259,0.4302499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7040000000000005,0.13103653829582199,0.4282499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7120000000000005,0.1322403844542714,0.4262499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7200000000000005,0.13344423061272076,0.4242499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7280000000000005,0.13464807677117013,0.4222499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7360000000000005,0.13585192292961953,0.4202499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7440000000000005,0.13705576908806893,0.4182499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7520000000000006,0.1382596152465183,0.4162499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7600000000000006,0.13946346140496768,0.4142499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7680000000000006,0.1406673075634171,0.4122499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7760000000000006,0.14187115372186648,0.4102499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7840000000000006,0.14307499988031586,0.4082499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.7920000000000006,0.14427884603876526,0.4062499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.8000000000000006,0.14548269219721466,0.4042499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.8080000000000006,0.14668653835566403,0.4022499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.8160000000000006,0.1478903845141134,0.4002499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.8240000000000006,0.1490942306725628,0.3982499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.8320000000000006,0.1502980768310122,0.3962499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.8400000000000006,0.15150192298946158,0.3942499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.8480000000000006,0.15270576914791095,0.3922499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.8560000000000006,0.15390961530636035,0.3902499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.8640000000000007,0.15511346146480975,0.3882499999999999,0.05,0.1504807698061734,-0.25,0.0,0
0.8720000000000007,0.15631730762325913,0.38624999999999987,0.05,0.1504807698061734,-0.25,0.0,0
0.8800000000000007,0.15752115378170853,0.38424999999999987,0.05,0.1504807698061734,-0.25,0.0,0
0.8880000000000007,0.15872499994015793,0.38224999999999987,0.05,0.1504807698061734,-0.25,0.0,0
0.8960000000000007,0.1599288460986073,0.38024999999999987,0.05,0.1504807698061734,-0.25,0.0,0
0.9040000000000007,0.16113269225705668,0.37824999999999986,0.05,0.1504807698061734,-0.25,0.0,0
0.9120000000000007,0.16233653841550608,0.37624999999999986,0.05,0.1504807698061734,-0.25,0.0,0
0.9200000000000007,0.16354038457395548,0.37424999999999986,0.05,0.1504807698061734,-0.25,0.0,0
0.9280000000000007,0.16474423073240485,0.37224999999999986,0.05,0.1504807698061734,-0.25,0.0,0
0.9360000000000007,0.16594807689085422,0.37024999999999986,0.05,0.1504807698061734,-0.25,0.0,0
0.9440000000000007,0.16715192304930362,0.36824999999999986,0.05,0.1504807698061734,-0.25,0.0,0
0.9520000000000007,0.16835576920775303,0.36624999999999985,0.05,0.1504807698061734,-0.25,0.0,0
0.9600000000000007,0.1695596153662024,0.36424999999999985,0.05,0.1504807698061734,-0.25,0.0,0
0.9680000000000007,0.1707634615246518,0.36224999999999985,0.05,0.1504807698061734,-0.25,0.0,0
