t,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
35.392000,0.5,-0.06770294058978808,0.66714688503875,0.000000,1.570796,0.000000,0.0,-0.025464434715430802,-0.04238926230444846,0.0,-0.010643737537838593,0.008326025485862074
35.400000,0.5,-0.06790671434962356,0.6668078243438585,0.000000,1.570796,0.000000,0.0,-0.025443715557300947,-0.042402540077402254,0.0,0.015823527070302518,-0.01164546872431109
35.408000,0.5,-0.06810947540372657,0.6664680183389685,0.000000,1.570796,0.000000,0.0,-0.025211258282305964,-0.04257558980403744,0.0,0.042290791678443615,-0.03161696293448425
35.416000,0.5,-0.06830952984716217,0.6661261888484507,0.000000,1.570796,0.000000,0.0,-0.02476706289044585,-0.042908411484354,0.0,0.06875805628658471,-0.05158845714465743
35.424000,0.5,-0.0685051837749954,0.6657810576966756,0.000000,1.570796,0.000000,0.0,-0.02411112938172061,-0.04340100511835196,0.0,0.0952253208947258,-0.07155995135483059
35.432000,0.5,-0.06869474328229137,0.6654313467080138,0.000000,1.570796,0.000000,0.0,-0.023243457756130237,-0.0440533707060313,0.0,0.1216925855028669,-0.09153144556500376
35.440000,0.5,-0.06887651446411518,0.665075777706836,0.000000,1.570796,0.000000,0.0,-0.022164048013674803,-0.044865508247391966,0.0,0.14815985011100652,-0.11150293977517581
35.448000,0.5,-0.06904880341553186,0.6647130725175125,0.000000,1.570796,0.000000,0.0,-0.020872900154354182,-0.04583741774243407,0.0,0.1746271147191476,-0.131474433985349
35.456000,0.5,-0.06920991623160652,0.6643419529644139,0.000000,1.570796,0.000000,0.0,-0.019370014178168436,-0.04696909919115755,0.0,0.20109437932728869,-0.15144592819552213
35.464000,0.5,-0.06935815900740426,0.6639611408719108,0.000000,1.570796,0.000000,0.0,-0.017655390085117562,-0.04826055259356243,0.0,0.22756164393542982,-0.1714174224056953
35.472000,0.5,-0.06949183783799011,0.6635693580643738,0.000000,1.570796,0.000000,0.0,-0.01572902787520156,-0.04971177794964868,0.0,0.2540289085435709,-0.1913889166158685
35.480000,0.5,-0.0696092588794747,0.6631653268327309,0.000000,1.570796,0.000000,0.0,-0.013591198244525569,-0.05132070638782381,0.0,0.27969593553720545,-0.20524436838417967
35.488000,0.5,-0.06970885681366527,0.6627487517619209,0.000000,1.570796,0.000000,0.0,-0.011285612574563704,-0.052753261304536905,0.0,0.2967004819532598,-0.1528943607940947
35.496000,0.5,-0.06978946591701084,0.6623223914520202,0.000000,1.570796,0.000000,0.0,-0.008843990533273408,-0.05376701616052933,0.0,0.31370502836931413,-0.10054435320400976
35.504000,0.5,-0.06984999789854075,0.6618895963035145,0.000000,1.570796,0.000000,0.0,-0.006266332120654675,-0.054361970955801066,0.0,0.3307095747853685,-0.0481943456139248
35.512000,0.5,-0.06988936446728444,0.6614537167168894,0.000000,1.570796,0.000000,0.0,-0.0035526373367075073,-0.05453812569035212,0.0,0.34771412120142287,0.004155661976160158
35.520000,0.5,-0.06990647733227122,0.6610181030926308,0.000000,1.570796,0.000000,0.0,-0.0007029061814319039,-0.054295480364182504,0.0,0.3647186676174772,0.056505669566245115
