t,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
0.320000,0.158544,-0.056390,0.000000,0.000000,3.141593,0.000000,-0.052725,0.014553,0.000000,0.501843,0.146779,0.000000
0.328000,0.158139,-0.056269,0.000000,0.000000,3.141593,0.000000,-0.048616,0.015761,0.000000,0.525392,0.155148,0.000000
0.336000,0.157767,-0.056138,0.000000,0.000000,3.141593,0.000000,-0.044319,0.017036,0.000000,0.548940,0.163517,0.000000
0.344000,0.157430,-0.055996,0.000000,0.000000,3.141593,0.000000,-0.039833,0.018377,0.000000,0.572488,0.171886,0.000000
0.352000,0.157130,-0.055843,0.000000,0.000000,3.141593,0.000000,-0.035159,0.019786,0.000000,0.596036,0.180255,0.000000
0.360000,0.156868,-0.055679,0.000000,0.000000,3.141593,0.000000,-0.030297,0.021261,0.000000,0.619584,0.188624,0.000000
0.368000,0.156646,-0.055503,0.000000,0.000000,3.141593,0.000000,-0.025246,0.022804,0.000000,0.643133,0.196993,0.000000
0.376000,0.156465,-0.055314,0.000000,0.000000,3.141593,0.000000,-0.020006,0.024413,0.000000,0.666681,0.205363,0.000000
0.384000,0.156326,-0.055112,0.000000,0.000000,3.141593,0.000000,-0.014579,0.026090,0.000000,0.690229,0.213732,0.000000
0.392000,0.156232,-0.054897,0.000000,0.000000,3.141593,0.000000,-0.008963,0.027833,0.000000,0.713777,0.222101,0.000000
0.400000,0.156183,-0.054667,0.000000,0.000000,3.141593,0.000000,-0.003269,0.029600,0.000000,0.699466,0.215746,0.000000
0.408000,0.156179,-0.054423,0.000000,0.000000,3.141593,0.000000,0.002213,0.031279,0.000000,0.671019,0.203894,0.000000
0.416000,0.156218,-0.054167,0.000000,0.000000,3.141593,0.000000,0.007468,0.032863,0.000000,0.642572,0.192042,0.000000
0.424000,0.156298,-0.053898,0.000000,0.000000,3.141593,0.000000,0.012494,0.034352,0.000000,0.614125,0.180190,0.000000
0.432000,0.156417,-0.053617,0.000000,0.000000,3.141593,0.000000,0.017294,0.035746,0.000000,0.585678,0.168338,0.000000
0.440000,0.156574,-0.053326,0.000000,0.000000,3.141593,0.000000,0.021865,0.037045,0.000000,0.557231,0.156486,0.000000
0.448000,0.156766,-0.053025,0.000000,0.000000,3.141593,0.000000,0.026209,0.038249,0.000000,0.528784,0.144634,0.000000
0.456000,0.156993,-0.052714,0.000000,0.000000,3.141593,0.000000,0.030326,0.039359,0.000000,0.500337,0.132782,0.000000
0.464000,0.157251,-0.052395,0.000000,0.000000,3.141593,0.000000,0.034215,0.040374,0.000000,0.471890,0.120930,0.000000
0.472000,0.157540,-0.052069,0.000000,0.000000,3.141593,0.000000,0.037876,0.041294,0.000000,0.443443,0.109078,0.000000
0.480000,0.157856,-0.051735,0.000000,0.000000,3.141593,0.000000,0.041310,0.042119,0.000000,0.414996,0.097227,0.000000
0.488000,0.158200,-0.051395,0.000000,0.000000,3.141593,0.000000,0.044516,0.042850,0.000000,0.386549,0.085375,0.000000
0.496000,0.158568,-0.051050,0.000000,0.000000,3.141593,0.000000,0.047495,0.043485,0.000000,0.358103,0.073523,0.000000
0.504000,0.158959,-0.050699,0.000000,0.000000,3.141593,0.000000,0.050246,0.044026,0.000000,0.329656,0.061671,0.000000
0.512000,0.159371,-0.050345,0.000000,0.000000,3.141593,0.000000,0.052769,0.044472,0.000000,0.301209,0.049819,0.000000
0.520000,0.159803,-0.049988,0.000000,0.000000,3.141593,0.000000,0.055065,0.044823,0.000000,0.272762,0.037967,0.000000
0.528000,0.160252,-0.049628,0.000000,0.000000,3.141593,0.000000,0.057133,0.045079,0.000000,0.244315,0.026115,0.000000
0.536000,0.160716,-0.049267,0.000000,0.000000,3.141593,0.000000,0.058974,0.045241,0.000000,0.215868,0.014263,0.000000
0.544000,0.161195,-0.048905,0.000000,0.000000,3.141593,0.000000,0.060587,0.045308,0.000000,0.187421,0.002411,0.000000
0.552000,0.161685,-0.048542,0.000000,0.000000,3.141593,0.000000,0.061973,0.045279,0.000000,0.158974,-0.009441,0.000000
0.560000,0.162186,-0.048181,0.000000,0.000000,3.141593,0.000000,0.063131,0.045157,0.000000,0.130527,-0.021293,0.000000
0.568000,0.162695,-0.047820,0.000000,0.000000,3.141593,0.000000,0.064061,0.044939,0.000000,0.102080,-0.033145,0.000000
0.576000,0.163210,-0.047462,0.000000,0.000000,3.141593,0.000000,0.064764,0.044626,0.000000,0.073633,-0.044997,0.000000
0.584000,0.163730,-0.047106,0.000000,0.000000,3.141593,0.000000,0.065239,0.044219,0.000000,0.045186,-0.056849,0.000000
0.592000,0.164253,-0.046755,0.000000,0.000000,3.141593,0.000000,0.065487,0.043717,0.000000,0.016740,-0.068701,0.000000
0.600000,0.164777,-0.046407,0.000000,0.000000,3.141593,0.000000,0.065507,0.043120,0.000000,-0.011707,-0.080553,0.000000
0.608000,0.165301,-0.046065,0.000000,0.000000,3.141593,0.000000,0.065300,0.042428,0.000000,-0.040154,-0.092405,0.000000
0.616000,0.165822,-0.045729,0.000000,0.000000,3.141593,0.000000,0.064865,0.041641,0.000000,-0.068601,-0.104257,0.000000
0.624000,0.166338,-0.045399,0.000000,0.000000,3.141593,0.000000,0.064202,0.040760,0.000000,-0.097048,-0.116109,0.000000
0.632000,0.166848,-0.045077,0.000000,0.000000,3.141593,0.000000,0.063312,0.039783,0.000000,-0.125495,-0.127960,0.000000
0.640000,0.167350,-0.044763,0.000000,0.000000,3.141593,0.000000,0.062194,0.038712,0.000000,-0.153942,-0.139812,0.000000
0.648000,0.167843,-0.044458,0.000000,0.000000,3.141593,0.000000,0.060849,0.037546,0.000000,-0.182389,-0.151664,0.000000
0.656000,0.168323,-0.044162,0.000000,0.000000,3.141593,0.000000,0.059276,0.036286,0.000000,-0.210836,-0.163516,0.000000
0.664000,0.168791,-0.043877,0.000000,0.000000,3.141593,0.000000,0.057476,0.034930,0.000000,-0.239283,-0.175368,0.000000
0.672000,0.169242,-0.043604,0.000000,0.000000,3.141593,0.000000,0.055447,0.033480,0.000000,-0.267730,-0.187220,0.000000
0.680000,0.169677,-0.043342,0.000000,0.000000,3.141593,0.000000,0.053192,0.031935,0.000000,-0.296177,-0.199072,0.000000
0.688000,0.170093,-0.043093,0.000000,0.000000,3.141593,0.000000,0.050709,0.030295,0.000000,-0.324624,-0.210924,0.000000
0.696000,0.170488,-0.042857,0.000000,0.000000,3.141593,0.000000,0.047998,0.028560,0.000000,-0.353070,-0.222776,0.000000
0.704000,0.170860,-0.042636,0.000000,0.000000,3.141593,0.000000,0.045060,0.026730,0.000000,-0.381517,-0.234628,0.000000
0.712000,0.171208,-0.042430,0.000000,0.000000,3.141593,0.000000,0.041894,0.024806,0.000000,-0.409964,-0.246480,0.000000
0.720000,0.171530,-0.042240,0.000000,0.000000,3.141593,0.000000,0.038500,0.022787,0.000000,-0.438411,-0.258332,0.000000
0.728000,0.171824,-0.042066,0.000000,0.000000,3.141593,0.000000,0.034932,0.020696,0.000000,-0.444179,-0.260349,0.000000
0.736000,0.172089,-0.041908,0.000000,0.000000,3.141593,0.000000,0.031420,0.018632,0.000000,-0.433955,-0.255431,0.000000
0.744000,0.172327,-0.041767,0.000000,0.000000,3.141593,0.000000,0.027989,0.016609,0.000000,-0.423731,-0.250514,0.000000
0.752000,0.172537,-0.041642,0.000000,0.000000,3.141593,0.000000,0.024640,0.014624,0.000000,-0.413507,-0.245596,0.000000
0.760000,0.172721,-0.041533,0.000000,0.000000,3.141593,0.000000,0.021373,0.012679,0.000000,-0.403284,-0.240678,0.000000
0.768000,0.172879,-0.041440,0.000000,0.000000,3.141593,0.000000,0.018187,0.010773,0.000000,-0.393060,-0.235760,0.000000
0.776000,0.173012,-0.041361,0.000000,0.000000,3.141593,0.000000,0.015084,0.008907,0.000000,-0.382836,-0.230842,0.000000
0.784000,0.173121,-0.041297,0.000000,0.000000,3.141593,0.000000,0.012062,0.007080,0.000000,-0.372612,-0.225925,0.000000
0.792000,0.173206,-0.041247,0.000000,0.000000,3.141593,0.000000,0.009122,0.005292,0.000000,-0.362388,-0.221007,0.000000
0.800000,0.173267,-0.041212,0.000000,0.000000,3.141593,0.000000,0.006264,0.003544,0.000000,-0.352164,-0.216089,0.000000
0.808000,0.173306,-0.041191,0.000000,0.000000,3.141593,0.000000,0.003487,0.001835,0.000000,-0.341940,-0.211171,0.000000
0.816000,0.173323,-0.041183,0.000000,0.000000,3.141593,0.000000,0.000793,0.000165,0.000000,-0.331716,-0.206254,0.000000
0.824000,0.173319,-0.041188,0.000000,0.000000,3.141593,0.000000,-0.001820,-0.001465,0.000000,-0.321492,-0.201336,0.000000
0.832000,0.173294,-0.041206,0.000000,0.000000,3.141593,0.000000,-0.004351,-0.003056,0.000000,-0.311268,-0.196418,0.000000
0.840000,0.173249,-0.041237,0.000000,0.000000,3.141593,0.000000,-0.006800,-0.004608,0.000000,-0.301044,-0.191500,0.000000
0.848000,0.173186,-0.041280,0.000000,0.000000,3.141593,0.000000,-0.009168,-0.006120,0.000000,-0.290820,-0.186583,0.000000
0.856000,0.173103,-0.041334,0.000000,0.000000,3.141593,0.000000,-0.011453,-0.007593,0.000000,-0.280596,-0.181665,0.000000
0.864000,0.173003,-0.041401,0.000000,0.000000,3.141593,0.000000,-0.013657,-0.009027,0.000000,-0.270372,-0.176747,0.000000
0.872000,0.172885,-0.041479,0.000000,0.000000,3.141593,0.000000,-0.015779,-0.010421,0.000000,-0.260148,-0.171829,0.000000
0.880000,0.172750,-0.041568,0.000000,0.000000,3.141593,0.000000,-0.017820,-0.011776,0.000000,-0.249925,-0.166911,0.000000
0.888000,0.172600,-0.041667,0.000000,0.000000,3.141593,0.000000,-0.019778,-0.013092,0.000000,-0.239701,-0.161994,0.000000
0.896000,0.172434,-0.041777,0.000000,0.000000,3.141593,0.000000,-0.021655,-0.014368,0.000000,-0.229477,-0.157076,0.000000
0.904000,0.172254,-0.041897,0.000000,0.000000,3.141593,0.000000,-0.023450,-0.015605,0.000000,-0.219253,-0.152158,0.000000
0.912000,0.172059,-0.042027,0.000000,0.000000,3.141593,0.000000,-0.025163,-0.016803,0.000000,-0.209029,-0.147240,0.000000
0.920000,0.171851,-0.042166,0.000000,0.000000,3.141593,0.000000,-0.026794,-0.017961,0.000000,-0.198805,-0.142323,0.000000
0.928000,0.171631,-0.042314,0.000000,0.000000,3.141593,0.000000,-0.028344,-0.019080,0.000000,-0.188581,-0.137405,0.000000
0.936000,0.171398,-0.042471,0.000000,0.000000,3.141593,0.000000,-0.029812,-0.020159,0.000000,-0.178357,-0.132487,0.000000
0.944000,0.171154,-0.042636,0.000000,0.000000,3.141593,0.000000,-0.031198,-0.021200,0.000000,-0.168133,-0.127569,0.000000
0.952000,0.170899,-0.042810,0.000000,0.000000,3.141593,0.000000,-0.032502,-0.022201,0.000000,-0.157909,-0.122652,0.000000
0.960000,0.170634,-0.042991,0.000000,0.000000,3.141593,0.000000,-0.033724,-0.023162,0.000000,-0.147685,-0.117734,0.000000
0.968000,0.170360,-0.043180,0.000000,0.000000,3.141593,0.000000,-0.034865,-0.024084,0.000000,-0.137461,-0.112816,0.000000
0.976000,0.170076,-0.043377,0.000000,0.000000,3.141593,0.000000,-0.035923,-0.024967,0.000000,-0.127237,-0.107898,0.000000
0.984000,0.169785,-0.043580,0.000000,0.000000,3.141593,0.000000,-0.036900,-0.025811,0.000000,-0.117013,-0.102980,0.000000
0.992000,0.169486,-0.043790,0.000000,0.000000,3.141593,0.000000,-0.037796,-0.026615,0.000000,-0.106789,-0.098063,0.000000
1.000000,0.169181,-0.044006,0.000000,0.000000,3.141593,0.000000,-0.038609,-0.027380,0.000000,-0.096566,-0.093145,0.000000
1.008000,0.168869,-0.044227,0.000000,0.000000,3.141593,0.000000,-0.039341,-0.028105,0.000000,-0.086342,-0.088227,0.000000
1.016000,0.168551,-0.044455,0.000000,0.000000,3.141593,0.000000,-0.039991,-0.028791,0.000000,-0.076118,-0.083309,0.000000
1.024000,0.168229,-0.044688,0.000000,0.000000,3.141593,0.000000,-0.040559,-0.029438,0.000000,-0.065894,-0.078392,0.000000
1.032000,0.167903,-0.044926,0.000000,0.000000,3.141593,0.000000,-0.041045,-0.030046,0.000000,-0.055670,-0.073474,0.000000
1.040000,0.167573,-0.045169,0.000000,0.000000,3.141593,0.000000,-0.041449,-0.030614,0.000000,-0.045446,-0.068556,0.000000
1.048000,0.167240,-0.045416,0.000000,0.000000,3.141593,0.000000,-0.041772,-0.031142,0.000000,-0.035222,-0.063638,0.000000
1.056000,0.166904,-0.045667,0.000000,0.000000,3.141593,0.000000,-0.042013,-0.031632,0.000000,-0.024998,-0.058720,0.000000
1.064000,0.166568,-0.045922,0.000000,0.000000,3.141593,0.000000,-0.042172,-0.032082,0.000000,-0.014774,-0.053803,0.000000
1.072000,0.166230,-0.046180,0.000000,0.000000,3.141593,0.000000,-0.042249,-0.032493,0.000000,-0.004550,-0.048885,0.000000
1.080000,0.165892,-0.046441,0.000000,0.000000,3.141593,0.000000,-0.042245,-0.032864,0.000000,0.005674,-0.043967,0.000000
1.088000,0.165554,-0.046706,0.000000,0.000000,3.141593,0.000000,-0.042158,-0.033196,0.000000,0.015898,-0.039049,0.000000
1.096000,0.165218,-0.046973,0.000000,0.000000,3.141593,0.000000,-0.041990,-0.033489,0.000000,0.026122,-0.034132,0.000000
1.104000,0.164883,-0.047241,0.000000,0.000000,3.141593,0.000000,-0.041741,-0.033742,0.000000,0.036346,-0.029214,0.000000
1.112000,0.164550,-0.047512,0.000000,0.000000,3.141593,0.000000,-0.041409,-0.033956,0.000000,0.046570,-0.024296,0.000000
1.120000,0.164220,-0.047785,0.000000,0.000000,3.141593,0.000000,-0.040995,-0.034131,0.000000,0.056793,-0.019378,0.000000
1.128000,0.163894,-0.048058,0.000000,0.000000,3.141593,0.000000,-0.040500,-0.034266,0.000000,0.067017,-0.014461,0.000000
1.136000,0.163572,-0.048333,0.000000,0.000000,3.141593,0.000000,-0.039923,-0.034362,0.000000,0.077241,-0.009543,0.000000
1.144000,0.163256,-0.048608,0.000000,0.000000,3.141593,0.000000,-0.039264,-0.034419,0.000000,0.087465,-0.004625,0.000000
1.152000,0.162944,-0.048883,0.000000,0.000000,3.141593,0.000000,-0.038524,-0.034436,0.000000,0.097689,0.000293,0.000000
1.160000,0.162639,-0.049159,0.000000,0.000000,3.141593,0.000000,-0.037701,-0.034414,0.000000,0.107913,0.005211,0.000000
1.168000,0.162341,-0.049434,0.000000,0.000000,3.141593,0.000000,-0.036797,-0.034353,0.000000,0.118137,0.010128,0.000000
1.176000,0.162051,-0.049708,0.000000,0.000000,3.141593,0.000000,-0.035811,-0.034252,0.000000,0.128361,0.015046,0.000000
1.184000,0.161769,-0.049982,0.000000,0.000000,3.141593,0.000000,-0.034743,-0.034112,0.000000,0.138585,0.019964,0.000000
1.192000,0.161495,-0.050254,0.000000,0.000000,3.141593,0.000000,-0.033594,-0.033933,0.000000,0.148809,0.024882,0.000000
1.200000,0.161231,-0.050525,0.000000,0.000000,3.141593,0.000000,-0.032362,-0.033714,0.000000,0.159033,0.029799,0.000000
1.208000,0.160978,-0.050793,0.000000,0.000000,3.141593,0.000000,-0.031049,-0.033456,0.000000,0.169257,0.034717,0.000000
1.216000,0.160735,-0.051060,0.000000,0.000000,3.141593,0.000000,-0.029654,-0.033159,0.000000,0.179481,0.039635,0.000000
1.224000,0.160503,-0.051324,0.000000,0.000000,3.141593,0.000000,-0.028177,-0.032822,0.000000,0.189705,0.044553,0.000000
1.232000,0.160284,-0.051585,0.000000,0.000000,3.141593,0.000000,-0.026619,-0.032446,0.000000,0.199929,0.049470,0.000000
1.240000,0.160078,-0.051843,0.000000,0.000000,3.141593,0.000000,-0.024979,-0.032030,0.000000,0.210152,0.054388,0.000000
1.248000,0.159885,-0.052097,0.000000,0.000000,3.141593,0.000000,-0.023257,-0.031576,0.000000,0.220376,0.059306,0.000000
1.256000,0.159706,-0.052348,0.000000,0.000000,3.141593,0.000000,-0.021453,-0.031082,0.000000,0.230600,0.064224,0.000000
1.264000,0.159542,-0.052595,0.000000,0.000000,3.141593,0.000000,-0.019567,-0.030548,0.000000,0.240824,0.069142,0.000000
1.272000,0.159393,-0.052837,0.000000,0.000000,3.141593,0.000000,-0.017599,-0.029975,0.000000,0.251048,0.074059,0.000000
1.280000,0.159260,-0.053074,0.000000,0.000000,3.141593,0.000000,-0.015550,-0.029363,0.000000,0.261272,0.078977,0.000000
1.288000,0.159144,-0.053306,0.000000,0.000000,3.141593,0.000000,-0.013419,-0.028712,0.000000,0.271496,0.083895,0.000000
1.296000,0.159046,-0.053533,0.000000,0.000000,3.141593,0.000000,-0.011206,-0.028021,0.000000,0.281720,0.088813,0.000000
1.304000,0.158965,-0.053755,0.000000,0.000000,3.141593,0.000000,-0.008912,-0.027291,0.000000,0.291944,0.093730,0.000000
1.312000,0.158904,-0.053970,0.000000,0.000000,3.141593,0.000000,-0.006535,-0.026521,0.000000,0.302168,0.098648,0.000000
1.320000,0.158861,-0.054179,0.000000,0.000000,3.141593,0.000000,-0.004077,-0.025712,0.000000,0.312392,0.103566,0.000000
1.328000,0.158838,-0.054381,0.000000,0.000000,3.141593,0.000000,-0.001537,-0.024864,0.000000,0.322616,0.108484,0.000000
1.336000,0.158837,-0.054577,0.000000,0.000000,3.141593,0.000000,0.001085,-0.023977,0.000000,0.332840,0.113401,0.000000
1.344000,0.158856,-0.054765,0.000000,0.000000,3.141593,0.000000,0.003789,-0.023050,0.000000,0.343064,0.118319,0.000000
1.352000,0.158897,-0.054945,0.000000,0.000000,3.141593,0.000000,0.006574,-0.022083,0.000000,0.353288,0.123237,0.000000
1.360000,0.158961,-0.055118,0.000000,0.000000,3.141593,0.000000,0.009441,-0.021078,0.000000,0.363511,0.128155,0.000000
1.368000,0.159049,-0.055282,0.000000,0.000000,3.141593,0.000000,0.012390,-0.020033,0.000000,0.373735,0.133073,0.000000
1.376000,0.159160,-0.055438,0.000000,0.000000,3.141593,0.000000,0.015421,-0.018949,0.000000,0.383959,0.137990,0.000000
1.384000,0.159296,-0.055585,0.000000,0.000000,3.141593,0.000000,0.018534,-0.017825,0.000000,0.394183,0.142908,0.000000
1.392000,0.159457,-0.055723,0.000000,0.000000,3.141593,0.000000,0.021728,-0.016662,0.000000,0.404407,0.147826,0.000000
1.400000,0.159644,-0.055852,0.000000,0.000000,3.141593,0.000000,0.025004,-0.015460,0.000000,0.414631,0.152744,0.000000
1.408000,0.159857,-0.055971,0.000000,0.000000,3.141593,0.000000,0.028362,-0.014218,0.000000,0.424855,0.157661,0.000000
1.416000,0.160098,-0.056079,0.000000,0.000000,3.141593,0.000000,0.031802,-0.012937,0.000000,0.435079,0.162579,0.000000
1.424000,0.160366,-0.056178,0.000000,0.000000,3.141593,0.000000,0.035323,-0.011617,0.000000,0.445303,0.167497,0.000000
1.432000,0.160663,-0.056265,0.000000,0.000000,3.141593,0.000000,0.038927,-0.010257,0.000000,0.455527,0.172415,0.000000
1.440000,0.160989,-0.056342,0.000000,0.000000,3.141593,0.000000,0.042600,-0.008861,0.000000,0.455953,0.175231,0.000000
1.448000,0.161344,-0.056407,0.000000,0.000000,3.141593,0.000000,0.046162,-0.007467,0.000000,0.434632,0.173384,0.000000
