x,y,z,velocity,acceleration
0.30400000000000005,0.20800000000000002,0.05,0.2,0.5
0.30400000000000005,0.20800000000000002,0.0,0.05,0.1
0.30133333333333334,0.20533333333333334,0.0,0.05,0.1
0.30000000000000004,0.20533333333333334,0.0,0.05,0.1
0.30000000000000004,0.20266666666666666,0.0,0.05,0.1
0.29600000000000004,0.19866666666666666,0.0,0.05,0.1
0.29600000000000004,0.19733333333333333,0.0,0.05,0.1
0.29200000000000004,0.19333333333333333,0.0,0.05,0.1
0.29200000000000004,0.192,0.0,0.05,0.1
0.2906666666666667,0.19066666666666668,0.0,0.05,0.1
0.2906666666666667,0.18933333333333335,0.0,0.05,0.1
0.28933333333333333,0.188,0.0,0.05,0.1
0.28933333333333333,0.18533333333333335,0.0,0.05,0.1
0.28800000000000003,0.184,0.0,0.05,0.1
0.28800000000000003,0.1746666666666667,0.0,0.05,0.1
0.28800000000000003,0.18266666666666667,0.0,0.05,0.1
0.28933333333333333,0.184,0.0,0.05,0.1
0.28933333333333333,0.18666666666666668,0.0,0.05,0.1
0.2906666666666667,0.188,0.0,0.05,0.1
0.2906666666666667,0.18933333333333335,0.0,0.05,0.1
0.29200000000000004,0.19066666666666668,0.0,0.05,0.1
0.29200000000000004,0.192,0.0,0.05,0.1
0.2946666666666667,0.19466666666666665,0.0,0.05,0.1
0.2946666666666667,0.196,0.0,0.05,0.1
0.30000000000000004,0.20133333333333334,0.0,0.05,0.1
0.30000000000000004,0.20400000000000001,0.0,0.05,0.1
0.3026666666666667,0.20666666666666667,0.0,0.05,0.1
0.30400000000000005,0.20666666666666667,0.0,0.05,0.1
0.30400000000000005,0.20666666666666667,0.05,0.2,0.5
0.44133333333333336,0.2613333333333333,0.05,0.2,0.5
0.44133333333333336,0.2613333333333333,0.0,0.05,0.1
0.44,0.26,0.0,0.05,0.1
0.436,0.26,0.0,0.05,0.1
0.4346666666666667,0.25866666666666666,0.0,0.05,0.1
0.43333333333333335,0.25866666666666666,0.0,0.05,0.1
0.428,0.2533333333333333,0.0,0.05,0.1
0.428,0.252,0.0,0.05,0.1
0.42533333333333334,0.24933333333333335,0.0,0.05,0.1
0.42533333333333334,0.24800000000000003,0.0,0.05,0.1
0.42400000000000004,0.24666666666666667,0.0,0.05,0.1
0.42400000000000004,0.24400000000000002,0.0,0.05,0.1
0.4226666666666667,0.24266666666666667,0.0,0.05,0.1
0.4226666666666667,0.24000000000000002,0.0,0.05,0.1
0.42133333333333334,0.23866666666666667,0.0,0.05,0.1
0.42133333333333334,0.23466666666666666,0.0,0.05,0.1
0.42000000000000004,0.23333333333333334,0.0,0.05,0.1
0.42000000000000004,0.22666666666666666,0.0,0.05,0.1
0.42133333333333334,0.22533333333333333,0.0,0.05,0.1
