X,Y,Z,Roll,Pitch,Yaw,Action,Speed_Profile
0.532,-0.057999999999999996,0.05,0.0,-1.5707963267948966,0.0,Move_Lift,Rapid
0.532,-0.057999999999999996,0.01,0.0,-1.5707963267948966,0.0,Set_Draw,Slow
0.532,-0.05866666666666667,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5326666666666667,-0.05933333333333332,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5326666666666667,-0.06,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5326666666666667,-0.06066666666666665,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5333333333333334,-0.06133333333333332,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5333333333333334,-0.062,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5333333333333334,-0.06266666666666665,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5333333333333334,-0.06333333333333332,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5333333333333334,-0.064,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5333333333333334,-0.06466666666666665,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5333333333333334,-0.06533333333333333,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5333333333333334,-0.066,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5333333333333334,-0.06666666666666665,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5333333333333334,-0.06733333333333333,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5333333333333334,-0.06733333333333333,0.05,0.0,-1.5707963267948966,0.0,Move_Lift,Rapid
0.52,-0.05733333333333332,0.05,0.0,-1.5707963267948966,0.0,Move_Lift,Rapid
0.52,-0.05733333333333332,0.01,0.0,-1.5707963267948966,0.0,Set_Draw,Slow
0.52,-0.057999999999999996,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.52,-0.05866666666666667,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5206666666666667,-0.05933333333333332,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5206666666666667,-0.06,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5206666666666667,-0.06066666666666665,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5213333333333334,-0.06133333333333332,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5213333333333334,-0.062,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.5213333333333334,-0.06266666666666665,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.522,-0.06333333333333332,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.522,-0.064,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.522,-0.06466666666666665,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.522,-0.06533333333333333,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.522,-0.066,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.522,-0.06666666666666665,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.522,-0.06733333333333333,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
0.522,-0.068,0.01,0.0,-1.5707963267948966,0.0,Draw_Down,Draw
